,A,C,CS,M,Y,P,JD,CF,SR,RM,L,PP,V,TA,MA,BU,RU,RB,I,HC,J,JM,ZC,FG,CU,NI,AL,ZN,AU,AG
2018-01-23,8.420577074,16.80095977,5.631177748,47.519253474,42.677251148,22.52762946,10.166282336,22.128834075,20.62084666,13.532218332,19.912538695,19.658329089,6.851334525,29.42729454,15.67050548,10.196324,98.29973208,118.96816941,118.5690403,23.095441136,63.09444912,27.209413368,17.780657712,9.263291044,127.28892904,56.94975436,56.39444275,52.76258828,42.8174088,39.65028408
2018-01-24,8.59256566,16.123795086,5.494617002,47.678579102,42.586818008,22.620053316,10.427078032,21.84021305,20.26530555,13.464488028,19.1240525,18.910599463,7.260038905,32.253121092,15.352772862,13.521746944,97.79154372,124.144372584,110.3675401,24.212948,61.3133256,27.825500304,19.393013064,9.472244712,133.43510509,56.47906122,55.7941255,53.0337828,44.04338005,40.66453536
2018-01-25,8.426051956,16.18164387,5.642095018,48.045440772,42.870345924,23.290478372,10.43059992,21.717618725,19.90558706,14.137011456,19.2896501,19.905517443,7.272727875,32.305797984,16.021105674,14.593642784,98.61904104,127.555743222,112.398381,24.036912112,74.81398992,25.828633584,20.153620488,10.457018348,137.69456141,72.56470788,56.9533437,53.85940312,44.46894435,40.97658555
2018-01-26,8.499973174,15.717639238,5.74405258,48.23093884,43.795604076,23.956104536,10.476645792,21.5345491,20.74291343,13.755776832,19.75199177,20.559138894,8.782604985,31.749313008,15.519445942,14.998370816,98.557128,122.814866358,111.7485323,23.275810192,66.10595244,24.20722296,21.299502552,9.616854884,139.80331918,74.26240094,57.024852,53.09940672,44.299359,41.14663416
2018-01-29,8.463172214,15.595570382,5.657612674,50.243110428,44.751911764,23.666557376,10.7269892,21.079654675,21.10746666,14.730185376,18.97306971,20.640949392,8.07653476,31.700546712,15.117342828,15.48002992,98.09500824,121.965387696,108.9579961,23.278516368,66.44090304,26.596195056,22.638582864,11.389750848,143.17457308,78.04508002,57.50971825,58.24604604,45.056706,41.59389594
2018-01-30,8.36738686,15.413468868,5.576504444,50.33853748,44.22969264,24.423266532,10.426515968,19.680597725,20.91796542,14.766712668,18.695243735,20.019693519,7.47726434,29.770645884,15.197300972,14.312800608,100.74617736,117.662130288,107.592943,22.196914576,63.5643072,24.845115312,20.31877404,10.773379988,142.52297003,71.59769428,58.2147561,55.86876512,45.2458155,41.9959665
2018-01-31,8.363573722,15.236965212,5.5860336,49.977891936,43.555473136,23.810836896,10.437032464,18.24783935,20.37041375,14.544626844,17.93511608,20.01703844,8.154232275,30.499426668,15.506799322,14.356717632,99.64115244,114.445750626,111.6885497,21.463930832,63.48407736,26.810385696,19.958586552,10.503439156,142.59144263,65.9163549,56.8876944,54.57454668,44.81993155,42.31586658
2018-02-01,9.017592542,15.915555362,5.90975154,50.451532012,43.698789484,24.499272588,10.337761248,17.7953682,20.15350676,14.75242548,17.40861955,19.709818352,6.952564815,28.851298356,14.977227804,14.234045664,99.46739364,117.473016546,107.6737052,22.82367032,60.07907832,24.567112584,20.829278928,9.506134512,141.10621098,63.97286386,57.9645209,53.45424644,44.3366901,42.36854799
2018-02-02,8.619885568,15.510030774,5.419918896,49.966378294,43.116793552,24.304640108,10.467927808,17.52257395,20.00562672,14.314226508,17.542331625,19.124296359,7.11525927,28.334772828,15.076957616,14.271312256,99.67243428,118.296145728,105.4101625,26.364552384,67.07750712,29.274826464,20.07925608,9.94918414,143.96859659,67.76795454,58.49892255,54.088811,44.90331515,43.34793915
2018-02-05,7.943275102,16.77987717,5.331887162,49.78125488,42.961656192,24.201583476,10.402129936,16.9170261,19.99680776,14.259680832,17.64501088,20.068427379,7.14084756,27.267921624,14.97944021,12.916699008,98.63735832,113.908539312,110.1639181,25.278374032,75.28039092,31.09336308,19.549992624,10.077544148,143.80202424,63.7631401,58.21991145,54.41091912,45.57206175,44.56330731
