,IF.CFE
2011-11-10,IF1111.CFE
2011-11-11,IF1111.CFE
2011-11-14,IF1111.CFE
2011-11-15,IF1111.CFE
2011-11-16,IF1111.CFE
2011-11-17,IF1112.CFE
2011-11-18,IF1112.CFE
2011-11-21,IF1112.CFE
2011-11-22,IF1112.CFE
2011-11-23,IF1112.CFE
2011-11-24,IF1112.CFE
2011-11-25,IF1112.CFE
2011-11-28,IF1112.CFE
2011-11-29,IF1112.CFE
2011-11-30,IF1112.CFE
2011-12-01,IF1112.CFE
2011-12-02,IF1112.CFE
2011-12-05,IF1112.CFE
2011-12-06,IF1112.CFE
2011-12-07,IF1112.CFE
2011-12-08,IF1112.CFE
2011-12-09,IF1112.CFE
2011-12-12,IF1112.CFE
2011-12-13,IF1112.CFE
2011-12-14,IF1112.CFE
2011-12-15,IF1112.CFE
2011-12-16,IF1112.CFE
2011-12-19,IF1201.CFE
2011-12-20,IF1201.CFE
2011-12-21,IF1201.CFE
2011-12-22,IF1201.CFE
2011-12-23,IF1201.CFE
2011-12-26,IF1201.CFE
2011-12-27,IF1201.CFE
2011-12-28,IF1201.CFE
2011-12-29,IF1201.CFE
2011-12-30,IF1201.CFE
2012-01-04,IF1201.CFE
2012-01-05,IF1201.CFE
2012-01-06,IF1201.CFE
2012-01-09,IF1201.CFE
2012-01-10,IF1201.CFE
2012-01-11,IF1201.CFE
2012-01-12,IF1201.CFE
2012-01-13,IF1201.CFE
2012-01-16,IF1201.CFE
2012-01-17,IF1201.CFE
2012-01-18,IF1201.CFE
2012-01-19,IF1202.CFE
2012-01-20,IF1202.CFE
2012-01-30,IF1202.CFE
2012-01-31,IF1202.CFE
2012-02-01,IF1202.CFE
2012-02-02,IF1202.CFE
2012-02-03,IF1202.CFE
2012-02-06,IF1202.CFE
2012-02-07,IF1202.CFE
2012-02-08,IF1202.CFE
2012-02-09,IF1202.CFE
2012-02-10,IF1202.CFE
2012-02-13,IF1202.CFE
2012-02-14,IF1202.CFE
2012-02-15,IF1202.CFE
2012-02-16,IF1203.CFE
2012-02-17,IF1203.CFE
2012-02-20,IF1203.CFE
2012-02-21,IF1203.CFE
2012-02-22,IF1203.CFE
2012-02-23,IF1203.CFE
2012-02-24,IF1203.CFE
2012-02-27,IF1203.CFE
2012-02-28,IF1203.CFE
2012-02-29,IF1203.CFE
2012-03-01,IF1203.CFE
