,IF.CFE
2017-06-27,IF1707.CFE
2017-06-28,IF1707.CFE
2017-06-29,IF1707.CFE
2017-06-30,IF1707.CFE
2017-07-03,IF1707.CFE
2017-07-04,IF1707.CFE
2017-07-05,IF1707.CFE
2017-07-06,IF1707.CFE
2017-07-07,IF1707.CFE
2017-07-10,IF1707.CFE
2017-07-11,IF1707.CFE
2017-07-12,IF1707.CFE
2017-07-13,IF1707.CFE
2017-07-14,IF1707.CFE
2017-07-17,IF1707.CFE
2017-07-18,IF1707.CFE
2017-07-19,IF1707.CFE
2017-07-20,IF1707.CFE
2017-07-21,IF1707.CFE
2017-07-24,IF1708.CFE
2017-07-25,IF1708.CFE
2017-07-26,IF1708.CFE
2017-07-27,IF1708.CFE
2017-07-28,IF1708.CFE
2017-07-31,IF1708.CFE
2017-08-01,IF1708.CFE
2017-08-02,IF1708.CFE
2017-08-03,IF1708.CFE
2017-08-04,IF1708.CFE
2017-08-07,IF1708.CFE
2017-08-08,IF1708.CFE
2017-08-09,IF1708.CFE
2017-08-10,IF1708.CFE
2017-08-11,IF1708.CFE
2017-08-14,IF1708.CFE
2017-08-15,IF1708.CFE
2017-08-16,IF1709.CFE
2017-08-17,IF1709.CFE
2017-08-18,IF1709.CFE
2017-08-21,IF1709.CFE
2017-08-22,IF1709.CFE
2017-08-23,IF1709.CFE
2017-08-24,IF1709.CFE
2017-08-25,IF1709.CFE
2017-08-28,IF1709.CFE
2017-08-29,IF1709.CFE
2017-08-30,IF1709.CFE
2017-08-31,IF1709.CFE
2017-09-01,IF1709.CFE
2017-09-04,IF1709.CFE
2017-09-05,IF1709.CFE
2017-09-06,IF1709.CFE
2017-09-07,IF1709.CFE
2017-09-08,IF1709.CFE
2017-09-11,IF1709.CFE
2017-09-12,IF1709.CFE
2017-09-13,IF1709.CFE
2017-09-14,IF1709.CFE
2017-09-15,IF1709.CFE
2017-09-18,IF1710.CFE
2017-09-19,IF1710.CFE
2017-09-20,IF1710.CFE
2017-09-21,IF1710.CFE
2017-09-22,IF1710.CFE
2017-09-25,IF1710.CFE
2017-09-26,IF1710.CFE
2017-09-27,IF1710.CFE
2017-09-28,IF1710.CFE
2017-09-29,IF1710.CFE
2017-10-09,IF1710.CFE
2017-10-10,IF1710.CFE
2017-10-11,IF1710.CFE
2017-10-12,IF1710.CFE
2017-10-13,IF1710.CFE
2017-10-16,IF1710.CFE
2017-10-17,IF1710.CFE
2017-10-18,IF1710.CFE
2017-10-19,IF1710.CFE
2017-10-20,IF1710.CFE
2017-10-23,IF1711.CFE
2017-10-24,IF1711.CFE
2017-10-25,IF1711.CFE
2017-10-26,IF1711.CFE
2017-10-27,IF1711.CFE
2017-10-30,IF1711.CFE
2017-10-31,IF1711.CFE
2017-11-01,IF1711.CFE
2017-11-02,IF1711.CFE
2017-11-03,IF1711.CFE
2017-11-06,IF1711.CFE
2017-11-07,IF1711.CFE
2017-11-08,IF1711.CFE
2017-11-09,IF1711.CFE
2017-11-10,IF1711.CFE
2017-11-13,IF1711.CFE
2017-11-14,IF1711.CFE
2017-11-15,IF1712.CFE
2017-11-16,IF1712.CFE
2017-11-17,IF1712.CFE
2017-11-20,IF1712.CFE
2017-11-21,IF1712.CFE
2017-11-22,IF1712.CFE
2017-11-23,IF1712.CFE
2017-11-24,IF1712.CFE
2017-11-27,IF1712.CFE
2017-11-28,IF1712.CFE
2017-11-29,IF1712.CFE
2017-11-30,IF1712.CFE
2017-12-01,IF1712.CFE
2017-12-04,IF1712.CFE
2017-12-05,IF1712.CFE
2017-12-06,IF1712.CFE
2017-12-07,IF1712.CFE
2017-12-08,IF1712.CFE
2017-12-11,IF1712.CFE
2017-12-12,IF1712.CFE
2017-12-13,IF1712.CFE
2017-12-14,IF1712.CFE
2017-12-15,IF1801.CFE
2017-12-18,IF1801.CFE
2017-12-19,IF1801.CFE
2017-12-20,IF1801.CFE
2017-12-21,IF1801.CFE
2017-12-22,IF1801.CFE
2017-12-25,IF1801.CFE
2017-12-26,IF1801.CFE
2017-12-27,IF1801.CFE
2017-12-28,IF1801.CFE
2017-12-29,IF1801.CFE
2018-01-02,IF1801.CFE
2018-01-03,IF1801.CFE
2018-01-04,IF1801.CFE
2018-01-05,IF1801.CFE
2018-01-08,IF1801.CFE
2018-01-09,IF1801.CFE
2018-01-10,IF1801.CFE
2018-01-11,IF1801.CFE
2018-01-12,IF1801.CFE
2018-01-15,IF1801.CFE
2018-01-16,IF1801.CFE
2018-01-17,IF1801.CFE
