,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-17,,,,5250.0,,,5049.0,,,,,,,,,,,,,,,,,
2013-10-18,,,,,4901.0,,4901.0,,,,,,,,,,,,,,,,,
2013-10-21,,,,,,,5050.0,,,,,,,,,,,,,,,,,
2013-10-22,,,,,,5200.0,4993.0,,,,,,,,,,,,,,,,,
2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,,,,5155.0,,,,,,,,,,,,,,,,,,,,
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-30,,,,,,,4964.0,,,,,,,,,,,,,,,,,
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-04,,,,,,,5212.0,,,,,,,,,,,,,,,,,
2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-06,,,,,,4959.0,,,,,,,,,,,,,,,,,,
2013-11-07,,,,,5036.0,,5024.0,,,,,,,,,,,,,,,,,
2013-11-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-11,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-13,,,,,4953.0,,5098.0,,,,,,,,,,,,,,,,,
2013-11-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-15,,,,,,,5052.0,,,,,,,,,,,,,,,,,
2013-11-18,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,,,,,,,5001.0,,,,,,,,,,,,,,,,,
2013-11-20,,,,,,,5000.0,,,,,,,,,,,,,,,,,
2013-11-21,,,,,,,5090.0,,,,,,,,,,,,,,,,,
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,,,,,,,5098.0,,,,,,,,,,,,,,,,,
2013-11-26,,,,,4981.0,,5067.0,,,,,,,,,,,,,,,,,
2013-11-27,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,,,,,5063.0,,5058.0,4897.0,,,,,,,,,,,,,,,,
2013-11-29,,,,,,,5023.0,,,,,,,,,,,,,,,,,
2013-12-02,,,,,,,4985.0,,,,,,,,,,,,,,,,,
2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,,,,,,,5023.0,,,,,,,,,,,,,,,,,
2013-12-05,,,,,,,5019.0,,,,,,,,,,,,,,,,,
2013-12-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,,,,,,,4977.0,,,,,,,,,,,,,,,,,
2013-12-11,,,,,,,4965.0,,,,,,,,,,,,,,,,,
2013-12-12,,,,,,,5046.0,,,,,,,,,,,,,,,,,
2013-12-13,,,,,,,5009.0,,,,,,,,,,,,,,,,,
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,,,,,4980.0,,4952.0,,,,,,,,,,,,,,,,,
2013-12-18,,,,,,,4968.0,,,,,,,,,,,,,,,,,
2013-12-19,,,,,,,4968.0,,,,,,,,,,,,,,,,,
2013-12-20,,,,,,,4949.0,,,,,,,,,,,,,,,,,
2013-12-23,,,,,,,4945.0,,,,,,,,,,,,,,,,,
2013-12-24,,,,,,,4959.0,,,,,,,,,,,,,,,,,
2013-12-25,,,,,,,4998.0,,,,,,,,,,,,,,,,,
2013-12-26,,,,,,4980.0,4948.0,,,,,,,,,,,,,,,,,
2013-12-27,,,,,,,4973.0,,,,,,,,,,,,,,,,,
2013-12-30,,,,,,,4950.0,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,4948.0,4900.0,,,,,,,,,,,,,,,,
2014-01-02,,,,,,,4918.0,,,,,,,,,,,,,,,,,
2014-01-03,,,,,,,4931.0,4820.0,,,,,,,,,,,,,,,,
2014-01-06,,,,,,,4906.0,5075.0,,,,,,,,,,,,,,,,
2014-01-07,,,,,,,4987.0,4918.0,,,,,,,,,,,,,,,,
2014-01-08,,,,,,,4837.0,,,,,,,,,,,,,,,,,
2014-01-09,,,,,,,4932.0,,,,,,,,,,,,,,,,,
2014-01-10,,,,,4965.0,,4878.0,4927.0,,,,,,,,,,,,,,,,
2014-01-13,,,,,5099.0,,4727.0,,,,,,,,,,,,,,,,,
2014-01-14,,,,,,,4805.0,4996.0,,,,,,,,,,,,,,,,
2014-01-15,,,,,5011.0,,4804.0,,,,,,,,,,,,,,,,,
2014-01-16,,,,,,,4801.0,4771.0,,,,,,,,,,,,,,,,
2014-01-17,,,,,,,4769.0,4787.0,,,,,,,,,,,,,,,,
2014-01-20,,,,,,,4795.0,4790.0,,,,,,,,,,,,,,,,
2014-01-21,,,,,,,4853.0,,,,,,,,,,,,,,,,,
2014-01-22,,,,,,,4877.0,4841.0,,,,,,,,,,,,,,,,
2014-01-23,,,,,,,,4989.0,,,,,,,,,,,,,,,,
2014-01-24,,,,,,,4759.0,4789.0,,,,,,,,,,,,,,,,
2014-01-27,,,,,,,4766.0,4771.0,,,,,,,,,,,,,,,,
2014-01-28,,,,,,,4836.0,,,,,,,,,,,,,,,,,
2014-01-29,,,,,,,4750.0,,,,,,,,,,,,,,,,,
2014-01-30,,,,,,,4849.0,,,,,,,,,,,,,,,,,
2014-02-07,,,,,,,4795.0,,,,,,,,,,,,,,,,,
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,,,,,,,4845.0,,,,,,,,,,,,,,,,,
2014-02-12,,,,,,,4838.0,,,,,,,,,,,,,,,,,
2014-02-13,,,,,,,4833.0,,,,,,,,,,,,,,,,,
2014-02-14,,,,,,,4841.0,,,,,,,,,,,,,,,,,
2014-02-17,,,,,,,4834.0,,,,,,,,,,,,,,,,,
2014-02-18,,,,,,,4837.0,,,,,,,,,,,,,,,,,
2014-02-19,,,,,,,4848.0,,,,,,,,,,,,,,,,,
2014-02-20,,,,,,,4791.0,,,,,,,,,,,,,,,,,
2014-02-21,,,,,,,4755.0,,,,,,,,,,,,,,,,,
2014-02-24,,,,,,,4845.0,,,,,,,,,,,,,,,,,
2014-02-25,,,,,,,4833.0,,,,,,,,,,,,,,,,,
2014-02-26,,,,,,,4806.0,,,,,,,,,,,,,,,,,
2014-02-27,,,,,,,4845.0,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,4818.0,,,,,,,,,,,,,,,,,
2014-03-03,,,,,,,4814.0,,,,,,,,,,,,,,,,,
2014-03-04,,,,,,,4791.0,,,,,,,,,,,,,,,,,
2014-03-05,,,,,,,4876.0,,,,,,,,,,,,,,,,,
2014-03-06,,,,,,,4949.0,4778.0,,,,,,,,,,,,,,,,
2014-03-07,,,,,,,4903.0,4848.0,,,,,,,,,,,,,,,,
2014-03-10,,,,,,,4919.0,4800.0,,,,,,,,,,,,,,,,
2014-03-11,,,,,,,4918.0,,,,,,,,,,,,,,,,,
2014-03-12,,,,,,,4990.0,,,,,,,,,,,,,,,,,
2014-03-13,,,,,4854.0,,4941.0,4811.0,,,,,,,,,,,,,,,,
2014-03-14,,,,,4866.0,,4984.0,,,,,,,,,,,,,,,,,
2014-03-17,,,,,5059.0,,4986.0,4800.0,,,,,,,,,,,,,,,,
2014-03-18,,,,,5100.0,,4933.0,,,,,,,,,,,,,,,,,
2014-03-19,,,,,,,4932.0,,,,,,,,,,,,,,,,,
2014-03-20,,,,,5302.0,,4916.0,4848.0,,,,,,,,,,,,,,,,
2014-03-21,,,,,,,4720.0,,,,,,,,,,,,,,,,,
2014-03-24,,,,,,,4948.0,,,,,,,,,,,,,,,,,
2014-03-25,,,,,,,4950.0,,,,,,,,,,,,,,,,,
2014-03-26,,,,,,,4953.0,,,,,,,,,,,,,,,,,
2014-03-27,,,,,,,4962.0,,,,,,,,,,,,,,,,,
2014-03-28,,,,,,,4918.0,,,,,,,,,,,,,,,,,
2014-03-31,,,,,,,4990.0,5034.0,,,,,,,,,,,,,,,,
2014-04-01,,,,,,,4983.0,5076.0,,,,,,,,,,,,,,,,
2014-04-02,,,,,,,5053.0,5043.0,,,,,,,,,,,,,,,,
2014-04-03,,,,,,,5026.0,4990.0,,,,,,,,,,,,,,,,
2014-04-04,,,,,,,4962.0,,,,,,,,,,,,,,,,,
2014-04-08,,,,,,,5066.0,,,,,,,,,,,,,,,,,
2014-04-09,,,,,,5086.0,4975.0,,,,,,,,,,,,,,,,,
2014-04-10,,,,,,,4937.0,,,,,,,,,,,,,,,,,
2014-04-11,,,,,,,4919.0,,,,,,,,,,,,,,,,,
2014-04-14,,,,,,,4960.0,,,,,,,,,,,,,,,,,
2014-04-15,,,,,,,4952.0,,,,,,,,,,,,,,,,,
2014-04-16,,,,,,,4930.0,,,,,,,,,,,,,,,,,
2014-04-17,,,,,,,4928.0,,,,,,,,,,,,,,,,,
2014-04-18,,,,,,4965.0,4895.0,,,,,,,,,,,,,,,,,
2014-04-21,,,,,,,4861.0,4845.0,,,,,,,,,,,,,,,,
2014-04-22,,,,,,,4820.0,,,,,,,,,,,,,,,,,
2014-04-23,,,,,,,4798.0,,,,,,,,,,,,,,,,,
2014-04-24,,,,,,,4818.0,,,,,,,,,,,,,,,,,
2014-04-25,,,,,,,4820.0,,,,,,,,,,,,,,,,,
2014-04-28,,,,,,,4805.0,,,,,,,,,,,,,,,,,
2014-04-29,,,,,,,4803.0,,,,,,,,,,,,,,,,,
2014-04-30,,,,,,,4887.0,4851.0,,,,,,,,,,,,,,,,
2014-05-05,,,,,,,4854.0,,,,,,,,,,,,,,,,,
2014-05-06,,,,,,,4932.0,,,,,,,,,,,,,,,,,
2014-05-07,,,,,,,4926.0,,,,,,,,,,,,,,,,,
2014-05-08,,,,,,,4907.0,,,,,,,,,,,,,,,,,
2014-05-09,,,,,,4862.0,4922.0,,,,,,,,,,,,,,,,,
2014-05-12,,,,,,4867.0,4959.0,,,,,,,,,,,,,,,,,
2014-05-13,,,,,,,4934.0,,,,,,,,,,,,,,,,,
2014-05-14,,,,,5250.0,,4922.0,,,,,,,,,,,,,,,,,
2014-05-15,,,,,,,4928.0,,,,,,,,,,,,,,,,,
