None,振幅,振幅,1日收益,1日收益,5日收益,5日收益,20日收益,20日收益,成交量变化,成交量变化,日多头持仓占比变化,日多头持仓占比变化,日空头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向,1日资金流向变化率,1日资金流向变化率
None,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret
2018-01-16,塑料,-0.00556962025316,淀粉,-0.00983146067416,动力煤,0.00347331859804,沪镍,-0.00879255699826,沥青,0.0,螺纹钢,0.00976253298153,沥青,0.0,PVC,-0.00904977375566,焦炭,-0.000255167134473,螺纹钢,0.00976253298153,淀粉,-0.00983146067416,PTA,-0.00604337006754,沪铜,-0.0132596685083
2018-01-16,聚丙烯,-0.00382327952421,豆粕,0.00580973129993,沪金,-0.00301793005503,聚丙烯,-0.00382327952421,淀粉,-0.00983146067416,鸡蛋,0.0,沪铜,-0.0132596685083,天胶,-0.00562390158172,沪镍,-0.00879255699826,菜粕,0.00484795063905,沪锌,-0.000383656244005,白糖,-0.00515907136715,鸡蛋,0.0
2018-01-17,焦煤,-0.00623052959502,螺纹钢,0.00836164097204,天胶,0.00141392718275,沥青,-0.000723065798988,玉米,-0.00385462555066,沪金,-0.00551994301994,沪金,-0.00551994301994,动力煤,0.0166771554437,甲醇,-0.00106269925611,沥青,-0.000723065798988,玉米,-0.00385462555066,沪铜,0.001679731243,玻璃,0.0115254237288
2018-01-17,焦炭,0.00382848392037,豆粕,-0.00108303249097,沪金,-0.00551994301994,PTA,0.00107296137339,塑料,0.00050916496945,焦煤,-0.00623052959502,沪银,-0.0061919504644,聚丙烯,0.00213219616205,铁矿石,0.0103480714958,玉米,-0.00385462555066,铁矿石,0.0103480714958,沪锌,-0.00230282095567,沪锌,-0.00230282095567
2018-01-17,PVC,0.00837138508371,热卷,0.00468384074941,沥青,-0.000723065798988,沪锌,-0.00230282095567,焦煤,-0.00623052959502,聚丙烯,0.00213219616205,焦炭,0.00382848392037,玻璃,0.0115254237288,沪银,-0.0061919504644,菜粕,-0.00219298245614,棉花,0.0240924092409,沪铝,-0.000683526999317,沪铝,-0.000683526999317
2018-01-17,铁矿石,0.0103480714958,玻璃,0.0115254237288,沪银,-0.0061919504644,沪镍,-0.00175348117586,沥青,-0.000723065798988,玉米,-0.00385462555066,沥青,-0.000723065798988,沥青,-0.000723065798988,沪铜,0.001679731243,螺纹钢,0.00836164097204,沪铝,-0.000683526999317,PTA,0.00107296137339,沪铜,0.001679731243
2018-01-17,沥青,-0.000723065798988,焦煤,-0.00623052959502,豆粕,-0.00108303249097,沪金,-0.00551994301994,淀粉,-0.000472813238771,PVC,0.00837138508371,沪铜,0.001679731243,沪银,-0.0061919504644,沪镍,-0.00175348117586,沪银,-0.0061919504644,焦炭,0.00382848392037,白糖,-0.00293863439931,鸡蛋,0.00354030501089
2018-01-18,棉花,-0.014502094747,棉花,-0.014502094747,动力煤,-0.000309501702259,棉花,-0.014502094747,玉米,-0.00442233278054,PVC,0.00679245283019,PVC,0.00679245283019,PVC,0.00679245283019,甲醇,-0.00709219858156,玉米,-0.00442233278054,玉米,-0.00442233278054,沪铜,0.000745295323272,玻璃,-0.00402144772118
2018-01-18,动力煤,-0.000309501702259,动力煤,-0.000309501702259,棉花,-0.014502094747,沥青,-0.00651230101302,塑料,0.00407124681934,淀粉,-0.00709555345317,热卷,0.016058016058,沪金,-0.00322291853178,沪镍,0.000516635668527,淀粉,-0.00709555345317,铁矿石,0.012104283054,沪锌,0.00403923831506,沪锌,0.00403923831506
2018-01-18,玻璃,-0.00402144772118,玻璃,-0.00402144772118,螺纹钢,0.0173620108836,PTA,0.00285816362987,焦煤,0.00901253918495,沪锌,0.00403923831506,沪金,-0.00322291853178,淀粉,-0.00709555345317,铁矿石,0.012104283054,焦煤,0.00901253918495,沪铝,0.00991792065663,沪铝,0.00991792065663,沪铝,0.00991792065663
