,BU1402.SHF,BU1403.SHF,BU1404.SHF,BU1405.SHF,BU1406.SHF,BU1407.SHF,BU1408.SHF,BU1409.SHF,BU1410.SHF,BU1411.SHF,BU1412.SHF,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1809.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU1807.SHF,BU1808.SHF,BU2003.SHF
2013-11-05,39746.0,2240.0,2.0,,1318.0,,,98.0,,,240.0,,,38.0,,,32.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-06,41692.0,2246.0,2.0,,1450.0,,,86.0,,,236.0,,,38.0,,,32.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-07,61360.0,2168.0,2.0,,1406.0,,,78.0,,,242.0,,,34.0,,,34.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-08,67934.0,2208.0,2.0,,1866.0,,,80.0,,,248.0,,,34.0,,,32.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-11,63250.0,2190.0,2.0,,1888.0,,,74.0,,,248.0,,,34.0,,,32.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-12,50388.0,2228.0,2.0,,2086.0,,,74.0,,,244.0,,,30.0,,,32.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-13,52474.0,2186.0,2.0,,2106.0,,,74.0,,,248.0,,,30.0,,,32.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-14,56440.0,2172.0,2.0,,2108.0,,,74.0,,,250.0,,,30.0,,,32.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-15,56028.0,2198.0,2.0,,2142.0,,,74.0,,,252.0,,,30.0,,,30.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-18,51044.0,2136.0,2.0,20.0,2154.0,,,76.0,,,252.0,,,30.0,,,30.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,53148.0,2134.0,8.0,12.0,2160.0,,,78.0,,,254.0,,,30.0,,,30.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,52326.0,2104.0,8.0,16.0,2020.0,,,76.0,,,248.0,,,30.0,,,30.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,50446.0,2106.0,8.0,18.0,1982.0,,,76.0,,,250.0,,,30.0,,,30.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22,50256.0,2098.0,8.0,20.0,1976.0,,,76.0,,,246.0,,,30.0,,,30.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,51864.0,2074.0,8.0,84.0,1916.0,,,78.0,,,250.0,,,30.0,,,30.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,47304.0,1670.0,8.0,90.0,1056.0,,,72.0,,,222.0,,,30.0,,,36.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,43306.0,1656.0,6.0,38.0,1058.0,,,70.0,,,224.0,,,24.0,,,36.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,38930.0,1634.0,6.0,302.0,1052.0,,,74.0,,,224.0,,,24.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,36782.0,1626.0,6.0,304.0,1056.0,,,74.0,,,226.0,,,24.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,38472.0,1610.0,6.0,318.0,1056.0,,,74.0,,,222.0,,,24.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,41354.0,1706.0,6.0,400.0,1252.0,,,70.0,,,222.0,,,22.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,46282.0,1720.0,12.0,454.0,1300.0,,,68.0,,,216.0,,,22.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,39522.0,1714.0,10.0,454.0,1282.0,,,68.0,,,214.0,,,22.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,59890.0,2106.0,2.0,286.0,1346.0,,,66.0,,,214.0,,,26.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,46882.0,2090.0,2.0,268.0,1506.0,,,66.0,,,212.0,,,32.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,46356.0,2050.0,2.0,270.0,1526.0,,,62.0,,,240.0,,,34.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,44676.0,2044.0,2.0,274.0,1524.0,,,62.0,,,230.0,,,34.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,49622.0,2006.0,0.0,312.0,1538.0,,,62.0,,,220.0,,,26.0,,,38.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,46132.0,1718.0,6.0,374.0,1418.0,,,58.0,,,222.0,,,30.0,,,34.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,42952.0,1720.0,2.0,310.0,1404.0,,,56.0,,,206.0,,,30.0,,,34.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,42262.0,1714.0,0.0,298.0,1384.0,,,54.0,,,206.0,,,30.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,41638.0,1714.0,0.0,298.0,1404.0,,,62.0,,,136.0,,,30.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,40540.0,1706.0,0.0,286.0,1410.0,,,60.0,,,128.0,,,30.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,43002.0,1688.0,0.0,302.0,1414.0,,,58.0,,,128.0,,,32.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,41614.0,1582.0,0.0,326.0,1390.0,,,60.0,,,130.0,,,36.0,,,32.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,41882.0,1558.0,4.0,326.0,1392.0,,,60.0,,,100.0,,,38.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,43250.0,1576.0,0.0,284.0,1400.0,,,60.0,,,100.0,,,40.0,,,34.0,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,51334.0,1624.0,4.0,332.0,1448.0,,,54.0,,,102.0,,,40.0,,,34.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,43832.0,1674.0,2.0,280.0,1408.0,,,64.0,,,102.0,,,40.0,,,36.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,38628.0,1680.0,0.0,258.0,1402.0,,,64.0,,,96.0,,,42.0,,,36.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,40424.0,1724.0,4.0,252.0,1508.0,,,64.0,,,96.0,,,42.0,,,38.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,41304.0,1712.0,6.0,250.0,1960.0,,,60.0,,,100.0,,,44.0,,,36.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,40832.0,1690.0,6.0,222.0,2670.0,,,52.0,,,100.0,,,44.0,,,36.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,40442.0,1520.0,6.0,158.0,3564.0,,,52.0,,,100.0,,,44.0,,,36.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,43496.0,1472.0,6.0,148.0,3898.0,,,38.0,,,100.0,,,44.0,,,36.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,40892.0,1420.0,6.0,138.0,3930.0,,,38.0,,,98.0,,,44.0,,,36.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,38102.0,1320.0,6.0,142.0,4298.0,,,36.0,,,96.0,,,44.0,,,34.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,37350.0,1290.0,6.0,146.0,4292.0,,,60.0,,,96.0,,,44.0,,,34.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,35994.0,1308.0,4.0,148.0,4370.0,,,60.0,,,94.0,,,44.0,,,34.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,34526.0,1284.0,2.0,152.0,6236.0,,,62.0,,,94.0,,,44.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,37610.0,1278.0,2.0,128.0,6210.0,,,60.0,,,100.0,,,44.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,34698.0,1266.0,2.0,154.0,5660.0,0.0,,60.0,,,96.0,,,44.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,34078.0,1272.0,2.0,154.0,5422.0,0.0,,60.0,,,96.0,,,44.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,30362.0,1254.0,2.0,156.0,5292.0,0.0,,58.0,,,96.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,30250.0,1254.0,2.0,156.0,4860.0,0.0,,58.0,,,92.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,29270.0,1252.0,2.0,156.0,4256.0,0.0,,58.0,,,92.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,28012.0,1252.0,2.0,142.0,5250.0,0.0,,78.0,,,92.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,24262.0,1258.0,2.0,136.0,5166.0,0.0,,76.0,,,92.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,21986.0,1252.0,2.0,136.0,4882.0,0.0,,76.0,,,88.0,,,40.0,,,32.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,18726.0,1252.0,2.0,136.0,4948.0,0.0,,62.0,,,88.0,,,42.0,,,28.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,17070.0,1252.0,2.0,130.0,4666.0,0.0,,60.0,,,92.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,16488.0,1252.0,2.0,166.0,4560.0,0.0,,62.0,,,94.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,14312.0,1246.0,2.0,164.0,4506.0,0.0,,62.0,,,96.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,12128.0,1250.0,2.0,196.0,5860.0,0.0,,58.0,,,96.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,11000.0,1250.0,2.0,194.0,6404.0,0.0,,62.0,,,96.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,7306.0,1246.0,2.0,182.0,7038.0,0.0,,62.0,,,96.0,,,42.0,,,30.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,7180.0,1246.0,6.0,204.0,7430.0,0.0,,62.0,,,96.0,,,42.0,,,30.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,6232.0,1216.0,6.0,184.0,10074.0,0.0,,62.0,,,96.0,,,42.0,,,28.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,5332.0,1210.0,6.0,432.0,11250.0,0.0,,58.0,,,98.0,,,42.0,,,26.0,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,5332.0,1192.0,6.0,430.0,11266.0,0.0,0.0,58.0,,,100.0,,,42.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,5332.0,1128.0,6.0,636.0,10950.0,0.0,0.0,58.0,,,84.0,,,40.0,,,26.0,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,5332.0,1116.0,6.0,638.0,12872.0,0.0,0.0,58.0,,,78.0,,,40.0,,,28.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,5332.0,1114.0,6.0,640.0,13634.0,0.0,0.0,68.0,,,68.0,,,40.0,,,28.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,5332.0,1394.0,10.0,658.0,13500.0,0.0,0.0,72.0,,,68.0,,,40.0,,,26.0,,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,5332.0,1374.0,10.0,658.0,13292.0,0.0,0.0,72.0,,,68.0,,,30.0,,,32.0,,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,5332.0,1180.0,10.0,648.0,20326.0,0.0,4.0,68.0,,,68.0,,,30.0,,,32.0,,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,5332.0,1176.0,10.0,648.0,19370.0,0.0,4.0,76.0,,,66.0,,,30.0,,,30.0,,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,5332.0,1142.0,10.0,610.0,17956.0,0.0,4.0,76.0,,,66.0,,,30.0,,,30.0,,,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,5332.0,1142.0,10.0,610.0,18216.0,0.0,4.0,76.0,,,60.0,,,30.0,,,28.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,5332.0,1108.0,10.0,628.0,19830.0,0.0,4.0,76.0,,,60.0,,,30.0,,,26.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,5332.0,1106.0,10.0,590.0,19014.0,0.0,4.0,76.0,,,62.0,,,30.0,,,28.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,5332.0,1106.0,10.0,580.0,19824.0,0.0,4.0,84.0,,,62.0,,,30.0,,,28.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,5332.0,1070.0,10.0,568.0,23018.0,0.0,4.0,84.0,,,62.0,,,30.0,,,30.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,5332.0,1072.0,10.0,188.0,29034.0,10.0,4.0,92.0,,,62.0,,,32.0,,,38.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,5332.0,1072.0,10.0,186.0,27614.0,12.0,2.0,72.0,,,62.0,,,32.0,,,38.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,5332.0,1060.0,10.0,174.0,28124.0,12.0,2.0,78.0,,,62.0,,,32.0,,,40.0,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,5332.0,1060.0,10.0,174.0,30972.0,10.0,2.0,78.0,,,62.0,,,32.0,,,32.0,,,14.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,5332.0,1060.0,10.0,164.0,30102.0,10.0,4.0,80.0,,,62.0,,,32.0,,,34.0,,,14.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,5332.0,1058.0,10.0,154.0,29934.0,10.0,4.0,324.0,,,60.0,,,30.0,,,34.0,,,14.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,5332.0,1058.0,4.0,156.0,29254.0,10.0,4.0,390.0,,,58.0,,,30.0,,,34.0,,,14.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,5332.0,1058.0,4.0,160.0,30732.0,10.0,2.0,396.0,,,56.0,,,30.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,5332.0,1058.0,4.0,170.0,29816.0,10.0,2.0,392.0,,,56.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,5332.0,1058.0,4.0,170.0,29108.0,10.0,2.0,384.0,,,56.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,5332.0,1058.0,4.0,170.0,28672.0,10.0,2.0,384.0,,,56.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,5332.0,1058.0,4.0,168.0,25784.0,10.0,2.0,386.0,,,54.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,5332.0,1058.0,4.0,168.0,25618.0,10.0,2.0,386.0,,,54.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,5332.0,1058.0,4.0,166.0,24592.0,10.0,2.0,386.0,,,54.0,,,28.0,,,32.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,5332.0,1058.0,4.0,166.0,27736.0,8.0,2.0,412.0,,,56.0,,,30.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,5332.0,1058.0,4.0,166.0,25560.0,8.0,2.0,410.0,,,54.0,,,30.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,5332.0,1058.0,4.0,166.0,26260.0,6.0,2.0,654.0,,,54.0,,,30.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-02,5332.0,1058.0,4.0,166.0,28378.0,6.0,2.0,1138.0,,,54.0,,,28.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-03,5332.0,1058.0,4.0,164.0,33228.0,6.0,2.0,1328.0,,,56.0,,,28.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,5332.0,1058.0,4.0,164.0,29688.0,6.0,2.0,1514.0,,,58.0,,,28.0,,,30.0,,,12.0,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
