,WS0305.CZC,WS0307.CZC,WS0309.CZC,WS0311.CZC,WS0401.CZC,WS0403.CZC,WS0405.CZC,WS0407.CZC,WS0409.CZC,WS0411.CZC,WS0501.CZC,WS0503.CZC,WS0505.CZC,WS0507.CZC,WS0509.CZC,WS0511.CZC,WS0601.CZC,WS0603.CZC,WS0605.CZC,WS0607.CZC,WS0609.CZC,WS0611.CZC,WS0701.CZC,WS0703.CZC,WS0705.CZC,WS0707.CZC,WS0709.CZC,WS0711.CZC,WS0801.CZC,WS0803.CZC,WS0805.CZC,WS0807.CZC,WS0809.CZC,WS0811.CZC,WS0901.CZC,WS0903.CZC,WS0905.CZC,WS0907.CZC,WS0909.CZC,WS0911.CZC,WS1001.CZC,WS1003.CZC,WS1005.CZC,WS1007.CZC,WS1009.CZC,WS1011.CZC,WS1101.CZC,WS1103.CZC,WS1105.CZC,WS1107.CZC,WS1109.CZC,WS1111.CZC,WS1201.CZC,WS1203.CZC,WS1205.CZC,WS1207.CZC,WS1209.CZC,WS1211.CZC,WS1301.CZC,WS1303.CZC,WS1305.CZC,WH1307.CZC,WH1309.CZC,WH1311.CZC,WH1401.CZC,WH1403.CZC,WH1405.CZC,WH1407.CZC,WH1409.CZC,WH1411.CZC,WH1501.CZC,WH1503.CZC,WH1505.CZC,WH1507.CZC,WH1509.CZC,WH1511.CZC,WH1601.CZC,WH1603.CZC,WH1605.CZC,WH607.CZC,WH609.CZC,WH611.CZC,WH701.CZC,WH703.CZC,WH705.CZC,WH707.CZC,WH709.CZC,WH711.CZC,WH801.CZC,WH803.CZC,WH805.CZC,WH807.CZC,WH809.CZC,WH811.CZC,WH901.CZC,WH903.CZC
2003-05-23,0.0,9878.0,115354.0,25874.0,15144.0,3964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-26,0.0,9754.0,130566.0,28418.0,15750.0,3774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-27,0.0,9764.0,134622.0,31364.0,17818.0,3742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-28,0.0,9488.0,137804.0,41812.0,21938.0,5630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-29,0.0,8822.0,126220.0,41408.0,22012.0,5638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-30,0.0,8700.0,129642.0,42284.0,21664.0,5176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-02,0.0,8264.0,133570.0,42802.0,21650.0,5176.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-03,0.0,8000.0,145706.0,44896.0,21864.0,5176.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-04,0.0,7340.0,133588.0,43708.0,22060.0,4856.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-05,0.0,7370.0,130720.0,44388.0,22632.0,4248.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-06,0.0,7280.0,129124.0,44270.0,23204.0,4240.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-09,0.0,6656.0,133744.0,46512.0,23582.0,4238.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-10,0.0,5862.0,128200.0,44336.0,23780.0,4228.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-11,0.0,5626.0,125500.0,41968.0,23770.0,3430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-12,0.0,4928.0,137332.0,43370.0,24866.0,3440.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-13,0.0,4874.0,138670.0,43602.0,23308.0,3438.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-16,0.0,4622.0,131766.0,41290.0,22888.0,3436.0,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-17,0.0,4526.0,131104.0,41860.0,23212.0,2692.0,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-18,0.0,4456.0,133752.0,45896.0,22592.0,2690.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-19,0.0,3792.0,131450.0,45226.0,21686.0,2690.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-20,0.0,3602.0,123370.0,47488.0,21534.0,2714.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-23,0.0,3638.0,124498.0,45578.0,21590.0,2312.0,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-24,0.0,4114.0,120264.0,45836.0,22672.0,2340.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-25,0.0,4130.0,124242.0,47712.0,22624.0,2344.0,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-26,0.0,3016.0,132056.0,47572.0,22098.0,2358.0,1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-27,0.0,2748.0,113720.0,48684.0,21840.0,1940.0,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,0.0,2674.0,108324.0,49490.0,22518.0,1540.0,1892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,0.0,2812.0,108072.0,49914.0,22650.0,1344.0,1884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-02,0.0,2742.0,105972.0,49600.0,22792.0,1342.0,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-03,0.0,2582.0,106568.0,48818.0,22944.0,1338.0,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-04,0.0,2560.0,105720.0,51926.0,22842.0,1264.0,1686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-07,0.0,2546.0,121190.0,55354.0,25680.0,1280.0,1690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
