,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2015-02-03,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-05,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-06,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-09,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-10,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-11,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-12,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-13,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-16,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-17,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-25,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-26,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-27,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-02,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-03,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-04,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-05,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-06,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-09,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-10,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-11,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-12,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-13,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-03-16,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-17,0.0,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-18,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-19,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-20,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-23,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-24,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-25,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-26,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-27,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-30,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
