,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1806.CFE,IH1804.CFE,IH1805.CFE,IH1809.CFE
2015-09-14,0.0,0.0,0.0,0.0,11764.0,3675.0,,4116.0,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,0.0,0.0,0.0,0.0,10305.0,4998.0,,4215.0,,,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,0.0,0.0,0.0,0.0,7304.0,6579.0,,4402.0,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,0.0,0.0,0.0,0.0,4746.0,8186.0,,4483.0,,,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,0.0,0.0,0.0,0.0,0.0,9250.0,,4599.0,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,0.0,0.0,0.0,0.0,0.0,9319.0,66.0,4638.0,,,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,0.0,0.0,0.0,0.0,0.0,9731.0,81.0,4770.0,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,0.0,0.0,0.0,0.0,0.0,10544.0,92.0,4820.0,,,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24,0.0,0.0,0.0,0.0,0.0,10997.0,92.0,4958.0,,,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,0.0,0.0,0.0,0.0,0.0,11299.0,94.0,5034.0,,,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,0.0,0.0,0.0,0.0,0.0,11188.0,105.0,5170.0,,,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,0.0,0.0,0.0,0.0,0.0,11577.0,138.0,5245.0,,,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,0.0,0.0,0.0,0.0,0.0,11612.0,146.0,5359.0,,,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,0.0,0.0,0.0,0.0,0.0,11717.0,251.0,5583.0,,,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,0.0,0.0,0.0,0.0,0.0,11215.0,468.0,6051.0,,,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,0.0,0.0,0.0,0.0,0.0,10752.0,626.0,6450.0,,,611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-13,0.0,0.0,0.0,0.0,0.0,9325.0,1177.0,6900.0,,,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,0.0,0.0,0.0,0.0,0.0,7793.0,1897.0,7432.0,,,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,0.0,0.0,0.0,0.0,0.0,5228.0,3648.0,7645.0,,,642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,0.0,0.0,0.0,0.0,0.0,0.0,5324.0,7878.0,,,655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,0.0,0.0,0.0,0.0,0.0,0.0,6194.0,7804.0,,,649.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20,0.0,0.0,0.0,0.0,0.0,0.0,6613.0,8077.0,,,671.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-21,0.0,0.0,0.0,0.0,0.0,0.0,7336.0,8099.0,,,685.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-22,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,7996.0,,,686.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,0.0,0.0,0.0,0.0,0.0,0.0,7995.0,8026.0,,,698.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,0.0,0.0,0.0,0.0,0.0,0.0,8293.0,8207.0,,,681.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,0.0,0.0,0.0,0.0,0.0,0.0,8551.0,8164.0,,,679.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-28,0.0,0.0,0.0,0.0,0.0,0.0,8675.0,8253.0,,,682.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-29,0.0,0.0,0.0,0.0,0.0,0.0,8843.0,8107.0,,,686.0,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,0.0,0.0,0.0,0.0,0.0,0.0,8976.0,8098.0,,,680.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-02,0.0,0.0,0.0,0.0,0.0,0.0,9145.0,7973.0,,,668.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,0.0,0.0,0.0,0.0,0.0,0.0,9437.0,7860.0,,,680.0,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,0.0,0.0,0.0,0.0,0.0,0.0,9926.0,8097.0,,,691.0,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-05,0.0,0.0,0.0,0.0,0.0,0.0,10181.0,8158.0,,,698.0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,0.0,0.0,0.0,0.0,0.0,0.0,9428.0,8560.0,,,754.0,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,
