,FG1303.CZC,FG1304.CZC,FG1305.CZC,FG1306.CZC,FG1307.CZC,FG1308.CZC,FG1309.CZC,FG1310.CZC,FG1311.CZC,FG1312.CZC,FG1401.CZC,FG1402.CZC,FG1403.CZC,FG1404.CZC,FG1405.CZC,FG1406.CZC,FG1407.CZC,FG1408.CZC,FG1409.CZC,FG1410.CZC,FG1411.CZC,FG1412.CZC,FG1501.CZC,FG1502.CZC,FG1503.CZC,FG1504.CZC,FG1505.CZC,FG1506.CZC,FG1507.CZC,FG1508.CZC,FG1509.CZC,FG1510.CZC,FG1511.CZC,FG1512.CZC,FG1601.CZC,FG1602.CZC,FG1603.CZC,FG1604.CZC,FG1605.CZC,FG1606.CZC,FG607.CZC,FG608.CZC,FG609.CZC,FG610.CZC,FG611.CZC,FG612.CZC,FG701.CZC,FG702.CZC,FG703.CZC,FG704.CZC,FG705.CZC,FG706.CZC,FG707.CZC,FG708.CZC,FG709.CZC,FG710.CZC,FG711.CZC,FG712.CZC,FG801.CZC,FG802.CZC,FG803.CZC,FG804.CZC,FG805.CZC,FG806.CZC,FG807.CZC,FG808.CZC,FG809.CZC,FG810.CZC,FG811.CZC,FG812.CZC,FG901.CZC,FG902.CZC,FG903.CZC,FG904.CZC
2013-01-21,324.0,72.0,478024.0,2504.0,210.0,120.0,207518.0,140.0,136.0,378.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,456.0,68.0,401292.0,2736.0,148.0,114.0,228268.0,152.0,158.0,460.0,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,484.0,58.0,401822.0,2414.0,126.0,108.0,202294.0,158.0,114.0,424.0,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,468.0,56.0,367110.0,2348.0,102.0,108.0,194896.0,120.0,120.0,266.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,444.0,56.0,315722.0,2334.0,100.0,122.0,194090.0,120.0,126.0,244.0,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,448.0,56.0,341564.0,2388.0,122.0,118.0,321274.0,170.0,150.0,246.0,1536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,440.0,46.0,299958.0,2454.0,120.0,116.0,355866.0,170.0,148.0,254.0,1794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,452.0,50.0,244474.0,3048.0,128.0,116.0,390976.0,198.0,162.0,288.0,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,440.0,50.0,219354.0,4410.0,122.0,146.0,457056.0,146.0,140.0,356.0,3902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,416.0,48.0,204910.0,4370.0,104.0,146.0,405030.0,144.0,170.0,360.0,3972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,466.0,44.0,190042.0,6580.0,134.0,170.0,465844.0,176.0,152.0,320.0,6164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,528.0,46.0,171362.0,7964.0,148.0,130.0,476782.0,170.0,142.0,284.0,9048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,526.0,44.0,166906.0,8810.0,154.0,150.0,468858.0,392.0,156.0,262.0,13620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-07,528.0,46.0,142368.0,8572.0,154.0,146.0,397408.0,330.0,132.0,200.0,15960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,528.0,46.0,130634.0,8504.0,152.0,136.0,350360.0,318.0,134.0,182.0,16600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,528.0,48.0,130398.0,7980.0,146.0,124.0,450892.0,254.0,136.0,176.0,19960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,526.0,46.0,130814.0,8016.0,156.0,108.0,512196.0,276.0,148.0,344.0,22012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,526.0,52.0,129110.0,7966.0,148.0,124.0,552484.0,280.0,146.0,308.0,24330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-21,482.0,52.0,106564.0,6664.0,106.0,106.0,502946.0,278.0,146.0,246.0,23638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,480.0,52.0,99072.0,5984.0,90.0,70.0,517796.0,290.0,160.0,222.0,26622.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,484.0,52.0,93870.0,5802.0,84.0,68.0,538436.0,288.0,152.0,248.0,29198.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,478.0,32.0,88196.0,5776.0,110.0,92.0,586884.0,298.0,146.0,264.0,31258.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,478.0,28.0,82400.0,5528.0,114.0,88.0,564882.0,298.0,142.0,236.0,36724.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,458.0,28.0,79080.0,5470.0,90.0,186.0,544704.0,266.0,146.0,238.0,43580.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,458.0,28.0,75648.0,5310.0,88.0,102.0,519900.0,288.0,184.0,206.0,42612.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,454.0,38.0,63396.0,3700.0,84.0,94.0,593688.0,278.0,182.0,154.0,49694.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,454.0,38.0,58392.0,3574.0,82.0,88.0,596258.0,234.0,184.0,120.0,63406.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,454.0,36.0,56480.0,3516.0,82.0,90.0,578546.0,278.0,160.0,134.0,73888.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-07,454.0,32.0,41840.0,3540.0,82.0,90.0,566174.0,304.0,122.0,116.0,77944.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,454.0,32.0,31506.0,3386.0,82.0,74.0,561120.0,276.0,104.0,134.0,81930.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,454.0,26.0,29016.0,3246.0,82.0,70.0,572414.0,264.0,126.0,130.0,86858.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,454.0,24.0,28212.0,2926.0,74.0,70.0,497148.0,258.0,122.0,130.0,87598.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,454.0,24.0,25408.0,2472.0,74.0,64.0,494998.0,254.0,116.0,130.0,88952.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-14,0.0,22.0,22886.0,2416.0,72.0,84.0,518394.0,258.0,104.0,130.0,91842.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,0.0,26.0,19446.0,2308.0,68.0,82.0,435968.0,228.0,94.0,118.0,93926.0,204.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,0.0,26.0,19128.0,2304.0,64.0,78.0,427578.0,234.0,94.0,110.0,123762.0,206.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,0.0,24.0,18158.0,2304.0,64.0,74.0,425424.0,226.0,92.0,110.0,121832.0,192.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,0.0,24.0,17576.0,2254.0,64.0,74.0,504850.0,1238.0,94.0,96.0,117650.0,176.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-21,0.0,24.0,16718.0,2200.0,250.0,104.0,488780.0,310.0,196.0,82.0,132130.0,182.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,0.0,24.0,15522.0,2182.0,252.0,94.0,449676.0,284.0,196.0,78.0,129136.0,204.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,0.0,24.0,15638.0,2174.0,252.0,92.0,437400.0,404.0,194.0,82.0,124076.0,208.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,0.0,22.0,14604.0,2130.0,246.0,88.0,471232.0,422.0,190.0,80.0,121494.0,208.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,0.0,22.0,13606.0,2120.0,242.0,84.0,461902.0,430.0,194.0,84.0,116872.0,208.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-28,0.0,22.0,12712.0,2070.0,244.0,84.0,454132.0,402.0,184.0,80.0,115882.0,208.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-29,0.0,20.0,11850.0,2038.0,242.0,72.0,415190.0,426.0,182.0,80.0,111424.0,204.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,0.0,20.0,10672.0,2020.0,284.0,66.0,441440.0,430.0,176.0,86.0,122382.0,222.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
