,M0011.DCE,M0101.DCE,M0103.DCE,M0105.DCE,M0107.DCE,M0109.DCE,M0111.DCE,M0201.DCE,M0203.DCE,M0205.DCE,M0207.DCE,M0209.DCE,M0211.DCE,M0301.DCE,M0303.DCE,M0305.DCE,M0307.DCE,M0308.DCE,M0309.DCE,M0311.DCE,M0401.DCE,M0403.DCE,M0405.DCE,M0408.DCE,M0409.DCE,M0411.DCE,M0501.DCE,M0503.DCE,M0505.DCE,M0508.DCE,M0509.DCE,M0511.DCE,M0512.DCE,M0601.DCE,M0603.DCE,M0605.DCE,M0607.DCE,M0608.DCE,M0609.DCE,M0611.DCE,M0612.DCE,M0701.DCE,M0703.DCE,M0705.DCE,M0707.DCE,M0708.DCE,M0709.DCE,M0711.DCE,M0712.DCE,M0801.DCE,M0803.DCE,M0805.DCE,M0807.DCE,M0808.DCE,M0809.DCE,M0811.DCE,M0812.DCE,M0901.DCE,M0903.DCE,M0905.DCE,M0907.DCE,M0908.DCE,M0909.DCE,M0911.DCE,M0912.DCE,M1001.DCE,M1003.DCE,M1005.DCE,M1007.DCE,M1008.DCE,M1009.DCE,M1011.DCE,M1012.DCE,M1101.DCE,M1103.DCE,M1105.DCE,M1107.DCE,M1108.DCE,M1109.DCE,M1111.DCE,M1112.DCE,M1201.DCE,M1203.DCE,M1205.DCE,M1207.DCE,M1208.DCE,M1209.DCE,M1211.DCE,M1212.DCE,M1301.DCE,M1303.DCE,M1305.DCE,M1307.DCE,M1308.DCE,M1309.DCE,M1311.DCE,M1312.DCE,M1401.DCE,M1403.DCE,M1405.DCE,M1407.DCE,M1408.DCE,M1409.DCE,M1411.DCE,M1412.DCE,M1501.DCE,M1503.DCE,M1505.DCE,M1507.DCE,M1508.DCE,M1509.DCE,M1511.DCE,M1512.DCE,M1601.DCE,M1603.DCE,M1605.DCE,M1607.DCE,M1608.DCE,M1609.DCE,M1611.DCE,M1612.DCE,M1701.DCE,M1703.DCE,M1705.DCE,M1707.DCE,M1708.DCE,M1709.DCE,M1711.DCE,M1712.DCE,M1801.DCE,M1803.DCE,M1805.DCE,M1807.DCE,M1808.DCE,M1809.DCE,M1811.DCE,M1812.DCE
2003-10-17,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,452.0,43952.0,35136.0,25212.0,7100.0,1820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-20,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,412.0,48948.0,37932.0,29682.0,6710.0,1722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-21,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,408.0,53138.0,40724.0,26828.0,6608.0,1548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-22,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,350.0,57584.0,45408.0,29368.0,6830.0,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-23,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,286.0,63434.0,43880.0,28682.0,8150.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-24,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,154.0,52198.0,42012.0,27382.0,6498.0,1438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-27,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,144.0,57018.0,42730.0,31532.0,6400.0,1452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-28,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,140.0,55030.0,44968.0,30368.0,6026.0,1422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-29,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,134.0,53830.0,44832.0,30696.0,6074.0,1398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-30,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,134.0,49990.0,41426.0,34488.0,6042.0,1418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-31,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,6.0,51512.0,45086.0,38452.0,6028.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-03,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,6.0,53828.0,47882.0,44748.0,6136.0,2718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-04,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,59884.0,50208.0,46656.0,6790.0,2782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-05,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,55168.0,50524.0,52440.0,6742.0,2504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-06,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,57288.0,50634.0,52770.0,6598.0,2404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-07,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,55700.0,48466.0,45248.0,5916.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-10,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,52378.0,48556.0,45588.0,5676.0,2292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-11,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,2.0,49734.0,46724.0,46380.0,5850.0,2282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-12,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,46378.0,46108.0,47334.0,6176.0,2340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-13,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,45106.0,46498.0,45934.0,6268.0,2356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-14,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,47238.0,47514.0,57812.0,6458.0,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-17,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,46744.0,48102.0,57632.0,7130.0,2326.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-18,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,46356.0,49686.0,56986.0,7106.0,2334.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-19,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,45906.0,49184.0,57072.0,7004.0,2540.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-20,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,41874.0,48152.0,56448.0,6780.0,2522.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-21,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,39628.0,47990.0,55540.0,6662.0,2496.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-24,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,39036.0,47610.0,54168.0,7678.0,2478.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-25,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,35492.0,46716.0,53454.0,8038.0,2482.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-26,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,35594.0,45954.0,53536.0,9132.0,2486.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-27,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,33184.0,46118.0,52550.0,10400.0,2348.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-28,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,34540.0,45648.0,55688.0,10702.0,2318.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-01,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,34714.0,45284.0,54688.0,11380.0,2372.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-02,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,34924.0,46110.0,53842.0,12096.0,2480.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-03,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,35656.0,43734.0,55898.0,12788.0,2552.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-04,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,34608.0,43958.0,58160.0,12900.0,2632.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-05,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,33334.0,43896.0,57838.0,12958.0,2528.0,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-08,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,32966.0,43250.0,59512.0,13204.0,2522.0,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-09,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,31886.0,45308.0,62674.0,13156.0,2586.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-10,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,31616.0,41366.0,62042.0,14386.0,2920.0,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-11,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,28580.0,40682.0,59930.0,14668.0,2960.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-12,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,28008.0,38586.0,54956.0,15304.0,2696.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-15,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,26792.0,37868.0,59108.0,16980.0,3760.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-16,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,24768.0,36754.0,65162.0,18822.0,3902.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-17,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,23846.0,36188.0,66958.0,20552.0,4410.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-18,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,22536.0,36342.0,69396.0,21688.0,4414.0,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-19,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,21802.0,32920.0,72614.0,21954.0,5400.0,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-22,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,21762.0,32396.0,73740.0,21832.0,5684.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-23,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,21756.0,32090.0,79816.0,22508.0,6440.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-24,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,20730.0,28314.0,79030.0,22584.0,6962.0,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-25,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,18628.0,27564.0,79660.0,22744.0,7272.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-26,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,17670.0,26862.0,74022.0,23048.0,8188.0,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-29,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,17648.0,26816.0,73714.0,22880.0,8114.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-30,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,14672.0,25820.0,69806.0,22006.0,8474.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,14530.0,24854.0,64312.0,21156.0,9244.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-02,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,13924.0,24796.0,63020.0,20750.0,10054.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-05,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,13996.0,24206.0,60728.0,20912.0,10576.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-06,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,13996.0,23946.0,60312.0,21342.0,12044.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-07,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,13764.0,23506.0,67016.0,21624.0,12132.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-08,892.0,900.0,1208.0,502.0,,1518.0,2376.0,300.0,,800.0,86.0,792.0,,132.0,220.0,,270.0,1324.0,1300.0,,13370.0,23092.0,66180.0,22040.0,11986.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
