,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2014-03-11,186.0,4580.0,0.0,264.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,180.0,4586.0,0.0,284.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,180.0,4588.0,0.0,284.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,0.0,4536.0,0.0,288.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,0.0,4522.0,0.0,338.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,0.0,4522.0,0.0,338.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,0.0,4518.0,0.0,340.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,0.0,4474.0,0.0,340.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,0.0,4420.0,0.0,338.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,0.0,4346.0,0.0,330.0,36.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,0.0,4114.0,0.0,338.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,0.0,3900.0,0.0,340.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,0.0,3848.0,0.0,340.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,0.0,3778.0,0.0,340.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,0.0,3774.0,0.0,340.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,0.0,3710.0,0.0,342.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-02,0.0,3674.0,0.0,342.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-03,0.0,3678.0,0.0,342.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,0.0,3652.0,0.0,360.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-08,0.0,3650.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-09,0.0,3658.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-10,0.0,3642.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-11,0.0,3424.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,0.0,3370.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,0.0,3284.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,0.0,3184.0,0.0,356.0,18.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,0.0,2974.0,0.0,356.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-18,0.0,2974.0,0.0,348.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,0.0,608.0,0.0,348.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,0.0,532.0,0.0,150.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-23,0.0,334.0,0.0,150.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,0.0,334.0,0.0,150.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,0.0,116.0,0.0,128.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,0.0,106.0,0.0,118.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,0.0,106.0,0.0,94.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,0.0,102.0,0.0,84.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,0.0,102.0,0.0,84.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
