,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC,WSet: quota exceeded.
2014-04-11,,3155.0,,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,,3174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,,3150.0,,3068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,,3158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,,3153.0,,3059.0,,3051.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-18,,3154.0,,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,,3155.0,,3076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,,3172.0,,3092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-23,,3216.0,,3091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,,3249.0,3180.0,3101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,,3223.0,,3130.0,,3071.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,,3176.0,,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,,3100.0,,3190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,,3203.0,,3138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-06,,3432.0,,3185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,,,,3158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,,3426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,,3729.0,,3160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,,3520.0,,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,,3187.0,,3121.0,3200.0,3157.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,,,,3119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,,,,3130.0,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,,,,3129.0,,,,3244.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-23,,,,3124.0,3184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-27,,,,3158.0,3288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,,,,3218.0,,,,3253.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,,,,3195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-04,,,,3141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-11,,,,3172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-12,,,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,,,,3171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-17,,,,3185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-18,,,,3283.0,3415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,,,,3222.0,3310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,,,,3290.0,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-24,,,,3270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-25,,,,3309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,,,,3279.0,3188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-27,,,,3260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-03,,,,3281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-04,,,,3260.0,3290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,,,,3290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,,,,3263.0,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,,,,3241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,,,,3241.0,,3163.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,,,,3269.0,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,,,,3244.0,,3146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,,,,,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,,,,,,3226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,,,,3160.0,3190.0,3181.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,,,,,3106.0,3160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,,,,3165.0,3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,,,,,,3120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,,,,,,3192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,,,,3159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,,,,3202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,,,,3270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,,,,,,3180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,,,,3315.0,,3236.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,,,,,,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,,,,,,3235.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,,,,3291.0,3236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,,,,,,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,,,,3382.0,,,,,4090.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,,,,,,3350.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,,,,,,,,,3660.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,,,,,,3353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,,,,,,3353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,,,,,,3452.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,,,,,,3362.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,,,,,,3325.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,,,,,,3288.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,,,,,,3228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,,,,,,3286.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,,,,,,3254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25,,,,,3116.0,3230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26,,,,,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,,,,,3026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,3000.0,3099.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-08,,,,,,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,,,,,,3177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14,,,,,3117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,,,,,3020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,,,,,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-24,,,,,3076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-03,,,,,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,,,,,,3318.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,,,,,,3220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,,,,,,3147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,,,,,,,,3253.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-02,,,,,,3177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05,,,,,,3138.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-09,,,,,,3089.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10,,,,,,3094.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-16,,,,,,3089.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17,,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18,,,,,,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,3070.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,2980.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
