,C.DCE,M.DCE,index,c_standard,m_standard,index_standard,,C,M,,,,,"corr(c,index)","corr(m,index)","corr(c,m)"
2006/8/22,1415,2260,904.5451595,1.017253774,0.942845223,0.904545159,,1310.393274,2031.250046,,,,,,,
2006/8/23,1422,2268,908.6088258,1.022286125,0.946182728,0.908608826,,1316.875785,2038.440312,,,,,,,
2006/8/24,1419,2266,907.0519301,1.020129403,0.945348352,0.90705193,,1314.097566,2036.642745,,,,,,,
2006/8/25,1415,2256,904.0280677,1.017253774,0.941176471,0.904028068,,1310.393274,2027.654913,,,,,,,
2006/8/28,1412,2242,900.9198969,1.015097052,0.935335836,0.900919897,,1307.615056,2015.071948,,,,,,,
2006/8/29,1404,2227,895.5185367,1.009345794,0.929078014,0.895518537,,1300.206472,2001.5902,,,,,,,
2006/8/30,1394,2229,891.4492498,1.002156722,0.92991239,0.89144925,,1290.945742,2003.387767,,,,,,,
2006/8/31,1394,2243,893.2590708,1.002156722,0.935753025,0.893259071,,1290.945742,2015.970731,,,,,,,
2006/9/1,1402,2251,897.7555204,1.00790798,0.93909053,0.89775552,,1298.354326,2023.160997,,,,,,,
2006/9/4,1395,2238,893.0454894,1.002875629,0.933667084,0.893045489,,1291.871815,2011.476815,,,,,,,
2006/9/5,1401,2242,896.1592808,1.007189073,0.935335836,0.896159281,,1297.428253,2015.071948,,,,,,,
2006/9/6,1410,2267,903.2861535,1.013659238,0.94576554,0.903286154,,1305.76291,2037.541528,,,,,,,
2006/9/7,1411,2237,899.840749,1.014378145,0.933249896,0.899840749,,1306.688983,2010.578032,,,,,,,
2006/9/8,1421,2244,905.0734923,1.021567218,0.936170213,0.905073492,,1315.949712,2016.869515,,,,,,,
2006/9/11,1416,2228,900.841209,1.017972682,0.929495202,0.900841209,,1311.319347,2002.488983,,,,,,,
2006/9/12,1406,2218,895.2206469,1.010783609,0.925323321,0.895220647,,1302.058618,1993.501151,,,,,,,
2006/9/13,1403,2216,893.6637513,1.008626887,0.924488945,0.893663751,,1299.280399,1991.703585,,,,,,,
2006/9/14,1413,2231,899.930678,1.01581596,0.930746767,0.899930678,,1308.541129,2005.185333,,,,,,,
2006/9/15,1414,2227,899.8463695,1.016534867,0.929078014,0.89984637,,1309.467201,2001.5902,,,,,,,
2006/9/18,1417,2245,903.4716321,1.018691589,0.936587401,0.903471632,,1312.24542,2017.768298,,,,,,,
2006/9/19,1414,2238,901.2683718,1.016534867,0.933667084,0.901268372,,1309.467201,2011.476815,,,,,,,
2006/9/20,1405,2222,895.3049554,1.010064702,0.926992073,0.895304955,,1301.132545,1997.096284,,,,,,,
2006/9/21,1399,2226,893.2253474,1.005751258,0.928660826,0.893225347,,1295.576107,2000.691417,,,,,,,
2006/9/22,1403,2236,896.2492098,1.008626887,0.932832708,0.89624921,,1299.280399,2009.679249,,,,,,,
2006/9/25,1394,2215,889.6394288,1.002156722,0.924071756,0.889639429,,1290.945742,1990.804802,,,,,,,
2006/9/26,1397,2215,890.9377786,1.004313444,0.924071756,0.890937779,,1293.723961,1990.804802,,,,,,,
2006/9/27,1400,2208,891.331218,1.006470165,0.921151439,0.891331218,,1296.50218,1984.513319,,,,,,,
2006/9/28,1400,2209,891.4604909,1.006470165,0.921568627,0.891460491,,1296.50218,1985.412102,,,,,,,
2006/9/29,1406,2220,895.4791928,1.010783609,0.926157697,0.895479193,,1302.058618,1995.298718,,,,,,,
2006/10/9,1414,2223,899.3292778,1.016534867,0.927409262,0.899329278,,1309.467201,1997.995067,,,,,,,
2006/10/10,1445,2242,915.2017452,1.038820992,0.935335836,0.915201745,,1338.175464,2015.071948,,,,,,,
2006/10/11,1444,2227,912.829868,1.038102085,0.929078014,0.912829868,,1337.249391,2001.5902,,,,,,,
2006/10/12,1459,2228,919.4508901,1.048885694,0.929495202,0.91945089,,1351.140486,2002.488983,,,,,,,
2006/10/13,1476,2257,930.5571208,1.061107117,0.941593659,0.930557121,,1366.883727,2028.553696,,,,,,,
2006/10/16,1484,2283,937.3804832,1.066858375,0.952440551,0.937380483,,1374.29231,2051.92206,,,,,,,
2006/10/17,1483,2287,937.4647916,1.066139468,0.954109303,0.937464792,,1373.366237,2055.517193,,,,,,,
2006/10/18,1468,2280,930.0681319,1.055355859,0.951188986,0.930068132,,1359.475143,2049.22571,,,,,,,
2006/10/19,1466,2278,928.9440195,1.053918045,0.95035461,0.928944019,,1357.622997,2047.428144,,,,,,,
2006/10/20,1468,2269,928.6461297,1.055355859,0.946599917,0.92864613,,1359.475143,2039.708473,,,,,,,
2006/10/23,1465,2279.2,925.856679,1.053199137,0.950855236,0.925856679,,1356.696924,2024.269132,,,,,,,
2006/10/24,1476,2318,932.9800633,1.061107117,0.967042136,0.932980063,,1366.883727,2044.85492,,,,,,,
2006/10/25,1476,2340.8,933.082569,1.061107117,0.976554026,0.933082569,,1366.883727,2046.570403,,,,,,,
2006/10/26,1464,2347.8,925.9582496,1.05248023,0.979474343,0.92595825,,1355.770851,2031.988803,,,,,,,
2006/10/27,1482,2416,939.6193387,1.065420561,1.007926575,0.939619339,,1372.440165,2072.302637,,,,,,,
2006/10/30,1479,2429,939.9958908,1.063263839,1.013350021,0.939995891,,1369.661946,2083.453272,,,,,,,
2006/10/31,1478,2411,937.276963,1.062544932,1.005840634,0.937276963,,1368.735873,2068.013931,,,,,,,
2006/11/1,1471,2389,931.4902431,1.057512581,0.996662495,0.931490243,,1362.253362,2049.143626,,,,,,,
2006/11/2,1488,2429,943.8333998,1.069734004,1.013350021,0.9438334,,1377.996602,2083.453272,,,,,,,
2006/11/3,1493,2411,943.6728114,1.073328541,1.005840634,0.943672811,,1382.626967,2068.013931,,,,,,,
2006/11/6,1494,2421,945.3728334,1.074047448,1.010012516,0.945372833,,1383.55304,2076.591343,,,,,,,
2006/11/7,1509,2430,952.9149506,1.084831057,1.013767209,0.952914951,,1397.444135,2084.311013,,,,,,,
2006/11/8,1522,2442,959.9863778,1.094176851,1.018773467,0.959986378,,1409.483084,2094.603907,,,,,,,
2006/11/9,1520,2456,960.916683,1.092739037,1.024614101,0.960916683,,1407.630938,2106.612284,,,,,,,
2006/11/10,1511,2435,954.4045465,1.086268871,1.01585315,0.954404546,,1399.296281,2088.599719,,,,,,,
2006/11/13,1543,2447,969.5773815,1.109273904,1.020859408,0.969577381,,1428.930617,2098.892613,,,,,,,
2006/11/14,1557,2435,974.0184814,1.119338605,1.01585315,0.974018481,,1441.895638,2088.599719,,,,,,,
2006/11/15,1577,2456,985.2209066,1.133716751,1.024614101,0.985220907,,1460.417098,2106.612284,,,,,,,
2006/11/16,1583,2472,989.8170574,1.138030194,1.031289111,0.989817057,,1465.973536,2120.336142,,,,,,,
2006/11/17,1579,2458,986.3284128,1.135154565,1.025448477,0.986328413,,1462.269244,2108.327766,,,,,,,
2006/11/20,1599,2502,1000.460192,1.14953271,1.043804756,1.000460192,,1480.790704,2146.068377,,,,,,,
2006/11/21,1594,2473,994.6347093,1.145938174,1.0317063,0.994634709,,1476.160339,2121.193883,,,,,,,
2006/11/22,1589,2454,990.0828588,1.142343638,1.023779725,0.990082859,,1471.529974,2104.896801,,,,,,,
2006/11/23,1584,2435,985.5310083,1.138749101,1.01585315,0.985531008,,1466.899609,2088.599719,,,,,,,
2006/11/24,1586,2425,985.110156,1.140186916,1.011681268,0.985110156,,1468.751755,2080.022308,,,,,,,
2006/11/27,1628,2460,1007.476244,1.170381021,1.026282854,1.007476244,,1507.64682,2110.043248,,,,,,,
2006/11/28,1627,2440,1004.50259,1.169662114,1.017939091,1.00450259,,1506.720747,2092.888425,,,,,,,
2006/11/29,1605,2427,993.4662903,1.153846154,1.012515645,0.99346629,,1486.347142,2081.73779,,,,,,,
2006/11/30,1590,2414,985.4147202,1.143062545,1.007092199,0.98541472,,1472.456047,2070.587155,,,,,,,
2006/12/1,1590,2392,982.6127295,1.143062545,0.997914059,0.98261273,,1472.456047,2051.716849,,,,,,,
2006/12/4,1574,2344,969.677057,1.131560029,0.977889028,0.969677057,,1457.638879,2010.545274,,,,,,,
2006/12/5,1558,2310,958.5244696,1.120057513,0.963704631,0.95852447,,1442.821711,1981.382075,,,,,,,
2006/12/6,1567,2306,961.8525257,1.126527678,0.962035878,0.961852526,,1451.156368,1977.95111,,,,,,,
2006/12/7,1555,2303,956.3537574,1.117900791,0.960784314,0.956353757,,1440.043492,1975.377886,,,,,,,
2006/12/8,1572,2320,965.7675601,1.130122214,0.967876512,0.96576756,,1455.786733,1989.959486,,,,,,,
2006/12/11,1591,2323,974.2510577,1.143781452,0.969128077,0.974251058,,1473.38212,1992.53271,,,,,,,
2006/12/12,1614,2333,985.3316572,1.160316319,0.973299958,0.985331657,,1494.681799,2001.110121,,,,,,,
2006/12/13,1604,2308,977.883678,1.153127247,0.962870254,0.977883678,,1485.421069,1979.666592,,,,,,,
2006/12/14,1603,2326,979.749826,1.152408339,0.970379641,0.979749826,,1484.494996,1995.105933,,,,,,,
2006/12/15,1609,2312,980.5250803,1.156721783,0.964539007,0.98052508,,1490.051434,1983.097557,,,,,,,
2006/12/18,1601,2287,973.9298809,1.150970525,0.954109303,0.973929881,,1482.64285,1961.654028,,,,,,,
2006/12/19,1601,2278,972.7836119,1.150970525,0.95035461,0.972783612,,1482.64285,1953.934357,,,,,,,
2006/12/20,1617,2289,981.0068455,1.162473041,0.95494368,0.981006846,,1497.460018,1963.36951,,,,,,,
2006/12/21,1626,2304,986.7548027,1.168943206,0.961201502,0.986754803,,1505.794674,1976.235628,,,,,,,
2006/12/22,1643,2308,994.5128837,1.18116463,0.962870254,0.994512884,,1521.537915,1979.666592,,,,,,,
2006/12/25,1645,2334,998.677107,1.182602444,0.973717146,0.998677107,,1523.390061,2001.967862,,,,,,,
2006/12/26,1656,2358,1006.424113,1.190510424,0.983729662,1.006424113,,1533.576864,2022.55365,,,,,,,
2006/12/27,1634,2361,997.425625,1.174694464,0.984981227,0.997425625,,1513.203258,2025.126874,,,,,,,
2006/12/28,1636,2378,1000.443579,1.176132279,0.992073425,1.000443579,,1515.055404,2039.708473,,,,,,,
2006/12/29,1634,2392,1001.373885,1.174694464,0.997914059,1.001373885,,1513.203258,2051.716849,,,,,,,
2007/1/4,1594,2335,977.0585859,1.145938174,0.974134335,0.977058586,,1476.160339,2002.825603,,,,,,,
2007/1/5,1598,2343,979.7830511,1.148813803,0.97747184,0.979783051,,1479.864631,2009.687533,,,,,,,
2007/1/8,1604,2341,982.0866641,1.153127247,0.976637463,0.982086664,,1485.421069,2007.97205,,,,,,,
2007/1/9,1592,2327,975.1869004,1.144500359,0.970796829,0.9751869,,1474.308193,1995.963674,,,,,,,
2007/1/10,1588,2317,972.2077087,1.14162473,0.966624948,0.972207709,,1470.603901,1987.386263,,,,,,,
2007/1/11,1610,2337,984.1355505,1.15744069,0.974968711,0.984135551,,1490.977507,2004.541086,,,,,,,
