,TC1312.CZC,TC1401.CZC,TC1402.CZC,TC1403.CZC,TC1404.CZC,TC1405.CZC,TC1406.CZC,TC1407.CZC,TC1408.CZC,TC1409.CZC,TC1410.CZC,TC1411.CZC,TC1412.CZC,TC1501.CZC,TC1502.CZC,TC1503.CZC,TC1504.CZC,TC1505.CZC,TC1506.CZC,TC1507.CZC,TC1508.CZC,TC1509.CZC,TC1510.CZC,TC1511.CZC,TC1512.CZC,TC1601.CZC,TC1602.CZC,TC1603.CZC,TC1604.CZC,ZC1605.CZC,ZC1606.CZC,ZC607.CZC,ZC608.CZC,ZC609.CZC,ZC610.CZC,ZC611.CZC,ZC612.CZC,ZC701.CZC,ZC702.CZC,ZC703.CZC,ZC704.CZC,ZC705.CZC,ZC706.CZC,ZC707.CZC,ZC708.CZC,ZC709.CZC,ZC710.CZC,ZC711.CZC,ZC712.CZC,ZC801.CZC,ZC802.CZC,ZC803.CZC,ZC804.CZC,ZC805.CZC,ZC806.CZC,ZC807.CZC,ZC808.CZC,ZC809.CZC,ZC810.CZC,ZC811.CZC,ZC812.CZC,ZC901.CZC,ZC902.CZC,ZC903.CZC,ZC904.CZC
2014-02-20,,,,0.0,0.0,26050.0,0.0,0.0,0.0,2118.0,0.0,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,,,,0.0,0.0,34518.0,6.0,0.0,0.0,2820.0,0.0,0.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,,,,0.0,0.0,54250.0,0.0,0.0,0.0,4740.0,6.0,0.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,,,,2.0,0.0,98068.0,18.0,0.0,30.0,5630.0,4.0,0.0,4.0,146.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,,,,0.0,6.0,48732.0,0.0,0.0,0.0,4276.0,0.0,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,,,,0.0,0.0,55972.0,68.0,0.0,0.0,5780.0,0.0,0.0,22.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,0.0,0.0,46206.0,16.0,0.0,0.0,4754.0,0.0,0.0,8.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,,,,0.0,0.0,34424.0,0.0,0.0,0.0,5934.0,0.0,0.0,18.0,448.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,,,,0.0,4.0,70436.0,12.0,0.0,0.0,10342.0,4.0,14.0,0.0,486.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,,,,0.0,0.0,39970.0,0.0,0.0,0.0,7012.0,0.0,2.0,0.0,228.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,,,,0.0,0.0,21626.0,0.0,0.0,0.0,3674.0,0.0,0.0,0.0,138.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,,,,0.0,0.0,74830.0,2.0,0.0,0.0,12082.0,0.0,2.0,0.0,412.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,,,,,0.0,125628.0,26.0,0.0,4.0,27338.0,2.0,6.0,6.0,886.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,,,,,0.0,112318.0,0.0,0.0,0.0,25112.0,0.0,0.0,2.0,644.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,,,,,0.0,57978.0,0.0,0.0,0.0,12964.0,0.0,2.0,0.0,304.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,,,,,0.0,33194.0,0.0,0.0,0.0,5888.0,0.0,0.0,0.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,,,,,4.0,43522.0,0.0,0.0,0.0,15150.0,0.0,0.0,0.0,210.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,,,,,2.0,37588.0,0.0,0.0,62.0,20410.0,0.0,0.0,0.0,244.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
