,BU1402.SHF,BU1403.SHF,BU1404.SHF,BU1405.SHF,BU1406.SHF,BU1407.SHF,BU1408.SHF,BU1409.SHF,BU1410.SHF,BU1411.SHF,BU1412.SHF,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1809.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU1807.SHF,BU1808.SHF,BU2003.SHF,BU1810.SHF,WSet: quota exceeded.
2014-02-13,196.0,154.0,4.0,56.0,2784.0,0.0,,4.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,952.0,84.0,2.0,56.0,7306.0,0.0,,0.0,,,4.0,,,2.0,,,18.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,900.0,102.0,6.0,360.0,12282.0,0.0,,4.0,,,10.0,,,0.0,,,18.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,,30.0,0.0,8.0,7886.0,0.0,0.0,2.0,,,4.0,,,0.0,,,12.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,,156.0,0.0,552.0,6848.0,0.0,0.0,0.0,,,24.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,,80.0,0.0,16.0,18446.0,0.0,0.0,0.0,,,46.0,,,2.0,,,124.0,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,,38.0,0.0,12.0,9540.0,0.0,0.0,12.0,,,14.0,,,0.0,,,8.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,,382.0,8.0,34.0,6308.0,0.0,0.0,4.0,,,4.0,,,0.0,,,50.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,,38.0,0.0,8.0,6042.0,0.0,0.0,0.0,,,6.0,,,18.0,,,8.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,,308.0,0.0,44.0,31196.0,0.0,4.0,10.0,,,6.0,,,2.0,,,20.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,,46.0,0.0,22.0,12582.0,0.0,0.0,22.0,,,2.0,,,0.0,,,6.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,80.0,0.0,62.0,7212.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,,50.0,0.0,42.0,6312.0,0.0,2.0,0.0,,,52.0,,,0.0,,,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,,44.0,0.0,44.0,11122.0,0.0,0.0,2.0,,,0.0,,,4.0,,,18.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,,24.0,0.0,74.0,6428.0,0.0,0.0,0.0,,,6.0,,,0.0,,,10.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,,4.0,0.0,20.0,11586.0,0.0,0.0,28.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,,54.0,0.0,12.0,13108.0,0.0,0.0,2.0,,,2.0,,,2.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,,142.0,0.0,930.0,32022.0,16.0,2.0,8.0,,,4.0,,,8.0,,,22.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,,620.0,0.0,12.0,15872.0,10.0,2.0,26.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,,120.0,0.0,82.0,12222.0,0.0,0.0,34.0,,,0.0,,,0.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,,0.0,0.0,4.0,11154.0,2.0,0.0,12.0,,,2.0,,,0.0,,,22.0,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,,56.0,0.0,78.0,9806.0,0.0,60.0,6.0,,,0.0,,,0.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,,40.0,0.0,60.0,9640.0,0.0,0.0,254.0,,,2.0,,,2.0,,,12.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,,,8.0,22.0,7580.0,0.0,0.0,104.0,,,2.0,,,0.0,,,2.0,,,0.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,,,0.0,4.0,19336.0,0.0,4.0,10.0,,,2.0,,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,,,0.0,18.0,11094.0,0.0,0.0,8.0,,,2.0,,,8.0,,,0.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,,,0.0,0.0,11518.0,0.0,0.0,8.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,,,0.0,2.0,9510.0,0.0,0.0,2.0,,,0.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,,,0.0,6.0,13670.0,0.0,0.0,6.0,,,6.0,,,2.0,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,,,4.0,14.0,12960.0,0.0,0.0,0.0,,,2.0,,,0.0,,,4.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,,,0.0,2.0,8936.0,0.0,0.0,2.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,,,0.0,8.0,31536.0,2.0,0.0,72.0,,,8.0,,,8.0,,,20.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
