,AL1501.SHF,AL1502.SHF,AL1503.SHF,AL1504.SHF,AL1505.SHF,AL1506.SHF,AL1507.SHF,AL1508.SHF,AL1509.SHF,AL1510.SHF,AL1511.SHF,AL1512.SHF,AL1601.SHF,AL1602.SHF,AL1603.SHF,AL1604.SHF,AL1605.SHF,AL1606.SHF,AL1607.SHF,AL1608.SHF,AL1609.SHF,AL1610.SHF,AL1611.SHF,AL1612.SHF,AL1701.SHF,AL1702.SHF,AL1703.SHF,AL1704.SHF,AL1705.SHF,AL1706.SHF,AL1707.SHF,AL1708.SHF,AL1709.SHF,AL1710.SHF,AL1711.SHF,AL1712.SHF,AL1801.SHF,AL1802.SHF,AL1803.SHF,AL1804.SHF,AL1805.SHF,AL1806.SHF,AL1807.SHF,AL1808.SHF,AL1809.SHF,AL1810.SHF,AL1811.SHF,AL1812.SHF,AL1901.SHF,AL1902.SHF,AL1903.SHF,AL1904.SHF
2015-01-30,,12760.0,12850.0,12835.0,12905.0,12950.0,13010.0,13050.0,13140.0,13165.0,13225.0,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,12800.0,12850.0,12910.0,12970.0,13020.0,13070.0,13110.0,13175.0,13210.0,13260.0,13325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,13080.0,13170.0,13300.0,13250.0,13265.0,13280.0,13305.0,13385.0,13375.0,13420.0,13525.0,13530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,13120.0,13300.0,13250.0,13300.0,13360.0,13365.0,13390.0,13400.0,13465.0,13515.0,13620.0,13645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,13185.0,13270.0,13350.0,13415.0,13465.0,13510.0,13520.0,13560.0,13615.0,13520.0,13690.0,13710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,13250.0,13305.0,13375.0,13420.0,13465.0,13505.0,13570.0,13615.0,13665.0,13660.0,13700.0,13795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,13190.0,13280.0,13350.0,13400.0,13475.0,13490.0,13490.0,13540.0,13595.0,13625.0,13655.0,13665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,13150.0,13200.0,13255.0,13305.0,13355.0,13405.0,13435.0,13470.0,13510.0,13535.0,13560.0,13580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,13100.0,13160.0,13210.0,13250.0,13700.0,13385.0,13375.0,13375.0,13425.0,13455.0,13510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,12995.0,13045.0,13085.0,13135.0,13165.0,13215.0,13255.0,13290.0,13315.0,13360.0,13385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,13160.0,13115.0,13150.0,13180.0,13350.0,13250.0,13320.0,13340.0,13370.0,13425.0,13475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,13085.0,13135.0,13165.0,13190.0,13230.0,13290.0,13310.0,13375.0,13425.0,13450.0,13475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,13030.0,13095.0,13125.0,13155.0,13205.0,13240.0,13280.0,13355.0,13370.0,13440.0,13510.0,13560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,13035.0,13145.0,13165.0,13145.0,13255.0,13245.0,13250.0,13285.0,13395.0,13380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,12960.0,13005.0,13045.0,13080.0,13130.0,13180.0,13220.0,13285.0,13350.0,13320.0,13360.0,13380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,12970.0,13025.0,13055.0,13120.0,13130.0,13195.0,13250.0,13320.0,13330.0,13335.0,13370.0,13510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,13030.0,13060.0,13100.0,13145.0,13195.0,13250.0,13265.0,13370.0,13390.0,13360.0,13440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,12995.0,13040.0,13085.0,13130.0,13175.0,13230.0,13285.0,13345.0,13355.0,13390.0,,13475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,12950.0,12965.0,13020.0,13065.0,13105.0,13160.0,13210.0,13235.0,13285.0,13335.0,,13395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,12935.0,12975.0,13020.0,13070.0,13110.0,13150.0,13205.0,13240.0,13300.0,13320.0,13355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,12940.0,12965.0,13020.0,13070.0,13110.0,13150.0,13180.0,13260.0,13295.0,13375.0,,13410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,12900.0,12925.0,12965.0,13010.0,13045.0,13095.0,13145.0,13225.0,13245.0,13320.0,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,12920.0,12945.0,12995.0,13040.0,13075.0,13105.0,13175.0,13185.0,,13290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,12895.0,12920.0,12925.0,12975.0,13010.0,13060.0,13140.0,13135.0,13225.0,13275.0,13300.0,13380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,13035.0,13245.0,13290.0,13290.0,13325.0,13360.0,13310.0,13335.0,13435.0,13270.0,13565.0,13510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,13300.0,13170.0,13200.0,13230.0,13250.0,13290.0,13315.0,13320.0,13415.0,13450.0,13500.0,13535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,13200.0,13125.0,13150.0,13180.0,13190.0,13225.0,13245.0,13290.0,13340.0,13380.0,13425.0,13415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,,,,13105.0,13130.0,13150.0,13170.0,13180.0,13220.0,13320.0,13310.0,13340.0,13400.0,13415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,,13130.0,13160.0,13180.0,13200.0,13215.0,13295.0,13290.0,13335.0,13425.0,13420.0,13440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,,,,13310.0,13340.0,13360.0,13380.0,13405.0,13400.0,13425.0,13455.0,13485.0,13560.0,13550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,,13360.0,13400.0,13400.0,13430.0,13465.0,13510.0,13520.0,13595.0,13600.0,13580.0,13780.0,13680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,,,,13345.0,13360.0,13365.0,13375.0,13385.0,13420.0,13415.0,13435.0,13460.0,13530.0,,13625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,,,,13320.0,13335.0,13345.0,13360.0,13370.0,13400.0,13410.0,13415.0,13515.0,13550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-25,,,,13320.0,13335.0,13350.0,13355.0,13360.0,13350.0,13385.0,13400.0,13450.0,13530.0,13535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,,,,13325.0,13330.0,13325.0,13335.0,13355.0,13345.0,13380.0,13430.0,13485.0,,13500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,,,,13370.0,13385.0,13380.0,13365.0,13375.0,13385.0,13410.0,,13495.0,13485.0,13550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,,,,13360.0,13345.0,13340.0,13345.0,13360.0,13365.0,13395.0,13400.0,13440.0,13430.0,13520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,,13420.0,13425.0,13420.0,13425.0,13430.0,13445.0,13445.0,13455.0,13460.0,13510.0,13585.0,13595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,13395.0,13410.0,13405.0,13405.0,13410.0,13425.0,13445.0,13455.0,13485.0,13505.0,13545.0,13580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,,,,13395.0,13410.0,13400.0,13410.0,13420.0,13430.0,13455.0,13455.0,13495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,,,,13395.0,13400.0,13385.0,13385.0,13395.0,13405.0,13445.0,13470.0,13510.0,13530.0,13560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,,,,13435.0,13455.0,13445.0,13450.0,13440.0,13445.0,13475.0,13515.0,13545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,,,,13400.0,13445.0,13435.0,13435.0,13440.0,13430.0,13465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,,,,13340.0,13375.0,13365.0,13370.0,13375.0,13375.0,13410.0,13415.0,13370.0,13485.0,13405.0,13545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,,,,13275.0,13285.0,13275.0,13280.0,13295.0,13355.0,13315.0,13350.0,,,,13470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,,,,13320.0,13265.0,13265.0,13260.0,13270.0,13285.0,13310.0,13330.0,13360.0,13415.0,13455.0,13500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,,,,13165.0,13145.0,13155.0,13160.0,13165.0,13190.0,13215.0,13250.0,13240.0,13300.0,,13305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,,,,13085.0,13100.0,13105.0,13125.0,13150.0,13175.0,13210.0,13250.0,13240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,,,,,13170.0,13195.0,13210.0,13225.0,13250.0,13260.0,13265.0,13285.0,13340.0,13375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,,,,,13245.0,13250.0,13275.0,13290.0,13325.0,13350.0,13400.0,13400.0,13420.0,,13485.0,13450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,,,,,13205.0,13215.0,13235.0,13260.0,13280.0,13315.0,13315.0,13355.0,13355.0,,13375.0,13555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,,,,,13125.0,13140.0,13150.0,13175.0,13195.0,13230.0,13240.0,,13345.0,13340.0,13360.0,13375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,,,,,13150.0,13155.0,13165.0,13190.0,13215.0,13250.0,13270.0,,13350.0,,,13485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,,,,,13225.0,13260.0,13280.0,13270.0,13275.0,13320.0,13365.0,13600.0,13320.0,,,13380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,13225.0,13230.0,13240.0,13255.0,13275.0,13310.0,13325.0,13380.0,13465.0,13445.0,13470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,,13350.0,13385.0,13400.0,13420.0,13425.0,13445.0,13465.0,13510.0,13595.0,13565.0,,13600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,,,,,13370.0,13400.0,13420.0,13435.0,13440.0,13470.0,13480.0,13495.0,13570.0,13505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,,,,,13370.0,13405.0,13420.0,13435.0,13485.0,13465.0,13465.0,13505.0,13550.0,13535.0,13580.0,13605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,13320.0,13355.0,13380.0,13400.0,13410.0,13420.0,13440.0,13460.0,13425.0,13565.0,,13620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,,,,,13365.0,13435.0,13465.0,13495.0,13510.0,13515.0,13520.0,13540.0,13535.0,,,13695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,,,,,13350.0,13415.0,13450.0,13485.0,13500.0,13485.0,13515.0,,13580.0,13590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,,,,,13455.0,13540.0,13620.0,13660.0,13690.0,13720.0,13750.0,13760.0,13835.0,13795.0,13875.0,13830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,,,,,13380.0,13485.0,13555.0,13600.0,13740.0,13660.0,13715.0,13725.0,13730.0,,,13925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,,,,,13355.0,13455.0,13520.0,13560.0,13595.0,13620.0,13665.0,13670.0,13720.0,13725.0,,13790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,,,,,13385.0,13445.0,13515.0,13555.0,13600.0,13610.0,13655.0,13625.0,13735.0,13720.0,13745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,,,,,13300.0,13390.0,13460.0,13505.0,13545.0,13580.0,13630.0,13655.0,13660.0,13660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,,,,,13255.0,13325.0,13395.0,13455.0,13500.0,13545.0,13575.0,13615.0,13675.0,13685.0,13680.0,13760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,,,,,13280.0,13340.0,13410.0,13470.0,13520.0,13550.0,13605.0,13600.0,13620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,,,,,13230.0,13290.0,13360.0,13420.0,13460.0,13505.0,13550.0,,13610.0,,13675.0,13785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,,,,,13250.0,13330.0,13395.0,13440.0,13485.0,13530.0,13570.0,13625.0,13645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,,,,,13195.0,13270.0,13325.0,13355.0,13405.0,13455.0,,13565.0,13605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,,,,,13175.0,13220.0,13275.0,13315.0,13360.0,13410.0,13455.0,13515.0,13495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,,,,,13220.0,13275.0,13320.0,13380.0,13410.0,13425.0,13495.0,13575.0,13595.0,13765.0,13635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,,,,,13220.0,13270.0,13310.0,13355.0,13400.0,13430.0,13460.0,,,13610.0,,13660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,,,,,13150.0,13200.0,13250.0,13305.0,13365.0,13395.0,13440.0,,13510.0,13555.0,,13615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,,,,,13185.0,13255.0,13310.0,13360.0,13395.0,13455.0,,13520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,,,,,13130.0,13195.0,13250.0,13300.0,13340.0,13400.0,13430.0,13475.0,,13640.0,13600.0,13620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,13085.0,13145.0,13195.0,13245.0,13290.0,13335.0,13385.0,13435.0,,,13515.0,13565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,13110.0,13180.0,13225.0,13285.0,13340.0,13380.0,13415.0,13540.0,13515.0,13575.0,13600.0,13635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,13065.0,13135.0,13200.0,13260.0,13310.0,13360.0,13415.0,13455.0,13500.0,13600.0,,13625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,,,,,13070.0,13125.0,13200.0,13265.0,13325.0,13365.0,13420.0,13455.0,13495.0,,13620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,,,,,13045.0,13120.0,13190.0,13250.0,13310.0,13340.0,13390.0,13440.0,13475.0,13565.0,,13695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,13035.0,13115.0,13175.0,13230.0,13285.0,13340.0,13410.0,13370.0,13405.0,13535.0,13515.0,13615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,,,,,13000.0,13145.0,13160.0,13225.0,13285.0,13305.0,13330.0,13380.0,13385.0,13450.0,13500.0,13505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,,,,,,12900.0,12960.0,13020.0,13070.0,13120.0,13180.0,13230.0,13265.0,,,13340.0,13525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,,,,,12860.0,12930.0,12990.0,13045.0,13095.0,13210.0,13190.0,13230.0,13290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,,,,,12855.0,12920.0,12985.0,13045.0,13095.0,13155.0,13205.0,13250.0,13420.0,13500.0,13515.0,13565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,,,,,,12815.0,12905.0,12975.0,13040.0,13095.0,13125.0,13195.0,13220.0,13290.0,13400.0,13325.0,13435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,12645.0,12770.0,12840.0,12905.0,12960.0,13000.0,13015.0,13120.0,13115.0,,,13360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,,,,,,12615.0,12715.0,12790.0,12850.0,12920.0,12945.0,12985.0,13045.0,13100.0,,,13135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,,,,,,12695.0,12750.0,12810.0,12860.0,12910.0,12950.0,13000.0,13035.0,13100.0,13155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,,,,,,,12670.0,12715.0,12775.0,12830.0,12870.0,12915.0,12975.0,12985.0,13095.0,13145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,,12680.0,12735.0,12795.0,12840.0,12845.0,12880.0,12925.0,12980.0,13060.0,13090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,,,,12680.0,12710.0,12750.0,12795.0,12830.0,12870.0,12915.0,12945.0,13030.0,13055.0,13145.0,13190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,,,,,,,12730.0,12770.0,12795.0,12840.0,12855.0,12875.0,12930.0,12985.0,13065.0,13095.0,13130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,,,,,,,12765.0,12790.0,12820.0,12840.0,12860.0,12890.0,12940.0,12970.0,13035.0,13115.0,13140.0,13210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,,12740.0,12790.0,12830.0,12840.0,12865.0,12885.0,12880.0,12920.0,12960.0,13010.0,13080.0,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,12755.0,12760.0,12780.0,12795.0,12795.0,12810.0,12845.0,12895.0,12970.0,12925.0,13040.0,13085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,,,,,,,12735.0,12750.0,12760.0,12765.0,12775.0,12790.0,12820.0,12845.0,12915.0,12945.0,,13090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,12750.0,12695.0,12715.0,12715.0,12730.0,12715.0,12770.0,12745.0,12775.0,12760.0,12925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,12580.0,12600.0,12620.0,12620.0,12620.0,12665.0,12715.0,12705.0,12745.0,,12860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,,,,,,,12765.0,13015.0,13030.0,13000.0,12930.0,13125.0,12885.0,12960.0,12850.0,12870.0,13030.0,13065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,,12655.0,12710.0,12740.0,12750.0,12765.0,12780.0,12795.0,12820.0,,,12985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,,,,,,,12575.0,12650.0,12685.0,12700.0,12700.0,12690.0,12730.0,12785.0,12700.0,12680.0,,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,,,,,,,12430.0,12500.0,12545.0,12585.0,12615.0,12645.0,12660.0,12675.0,12740.0,12765.0,12790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,,,,,,12300.0,12405.0,12450.0,12465.0,12510.0,12480.0,12585.0,12460.0,12740.0,12525.0,12515.0,12505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,,,,12275.0,12365.0,12435.0,12485.0,12530.0,12580.0,12625.0,12650.0,12700.0,12750.0,12830.0,12755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,,,,12395.0,12465.0,12535.0,12585.0,12630.0,12665.0,12715.0,12695.0,12795.0,,,12945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
