,PM1501.CZC,PM1503.CZC,PM1505.CZC,PM1507.CZC,PM1509.CZC,PM1511.CZC,PM1601.CZC,PM1603.CZC,PM1605.CZC,PM607.CZC,PM609.CZC,PM611.CZC,PM701.CZC,PM703.CZC,PM705.CZC,PM707.CZC,PM709.CZC,PM711.CZC,PM801.CZC,PM803.CZC,PM805.CZC,PM807.CZC,PM809.CZC,PM811.CZC,PM901.CZC,PM903.CZC
2015-06-18,,,,,,,2730.0,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,2253.0,,2512.0,,,2634.0,,,,,,,,,,,,,,,,,
2015-06-23,,,,,,,2699.0,,2738.0,,,,,,,,,,,,,,,,,
2015-06-24,,,,,,,,,2699.0,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,,,,2704.0,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,2624.0,,,,,,,,,,,,,,,,,,,
2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,2580.0,,2725.0,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,2684.0,,2739.0,,,,,,,,,,,,,,,,,
2015-07-02,,,,,,,2690.0,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,,2583.0,,2765.0,,,,,,,,,,,,,,,,,
2015-07-06,,,,,,,2536.0,,2638.0,,,,,,,,,,,,,,,,,
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,,,,,,2525.0,,2493.0,,,,,,,,,,,,,,,,,
2015-07-09,,,,,2554.0,,2500.0,,2470.0,,,,,,,,,,,,,,,,,
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,,,,,,2619.0,,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,,,2528.0,,,2529.0,,,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,,,,2361.0,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,,,,2361.0,2520.0,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,,,,2582.0,,,,,,,,,,,,,,,,,,,
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,2631.0,,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,,,,,,,2449.0,,,,,,,,,,,,,,,,,,,
2015-08-06,,,,,,2620.0,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,,,2537.0,,,,2470.0,,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,,,,,2277.0,,2472.0,,,,,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,2460.0,,2470.0,,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,2371.0,,,,,,,,,,,,,,,,,
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,2533.0,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,2274.0,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,2501.0,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,2231.0,2421.0,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,2360.0,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,2414.0,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,2383.0,,,,,,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,2389.0,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,2479.0,,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,2366.0,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,2333.0,,2380.0,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,2357.0,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,,,2386.0,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,,2428.0,,,,,,,,,,,,,,,,,,,
2015-10-28,,,,,,,2339.0,,,,,,,,,,,,,,,,,,,
2015-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-02,,,,,,,2366.0,,,,,,,,,,,,,,,,,,,
2015-11-03,,,,,,,2374.0,,,,,,,,,,,,,,,,,,,
2015-11-04,,,,,,,2398.0,,2506.0,,,,,,,,,,,,,,,,,
2015-11-05,,,,,,,2320.0,,,,,,,,,,,,,,,,,,,
2015-11-06,,,,,,,2370.0,,,,,,,,,,,,,,,,,,,
2015-11-09,,,,,,,2349.0,,,,,,,,,,,,,,,,,,,
2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,
