,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2015-02-27,9532.8446885,3808.8567986,1607.6006719,1227.4119378,2083.525185,805.4500952
2015-03-02,9859.2806736,3939.2004586,1677.9887901,1326.0984142,2083.823886,832.1691247
2015-03-03,9611.7211513,3819.8697339,1610.5015532,1289.2654442,2074.1698125,817.9146075
2015-03-04,9610.6873333,3796.249998,1626.6659252,1292.3241378,2094.6947885,800.7524838
2015-03-05,9469.6630632,3628.6918286,1596.732179,1359.9418946,2104.1482655,780.1488955
2015-03-06,9410.2754344,3573.9216015,1603.531057,1358.2169832,2109.1277145,765.4780782
2015-03-09,9381.5507693,3534.5114199,1636.3355595,1324.008985,2083.241875,803.4529299
2015-03-10,9339.8854326,3499.9733248,1617.8392866,1314.3178558,2100.277861,807.4771044
2015-03-11,9379.0825907,3618.4100693,1571.3980719,1272.4242994,2078.1370835,838.7130666
2015-03-12,9490.0746633,3653.419838,1652.3916954,1238.2980202,2079.9103135,866.0547962
2015-03-13,9443.4777335,3620.5397277,1647.8947789,1247.4117794,2063.443122,864.1883255
2015-03-16,9436.5275784,3585.2905098,1642.0243993,1298.727869,2027.297055,883.1877453
2015-03-17,9561.4957835,3657.0036506,1693.8097659,1273.5619842,2042.6227885,894.4975943
2015-03-18,9579.886823,3693.3083641,1651.7015396,1278.3074362,2076.9775475,879.5919356
2015-03-19,9705.7426312,3730.6564878,1704.3173513,1285.813785,2103.122397,881.8326101
2015-03-20,9746.2588761,3753.7158486,1690.7368692,1296.174092,2133.0595405,872.5725258
2015-03-23,9977.082472,3835.4790258,1713.0369786,1369.4298928,2164.48092,894.6556548
2015-03-24,10093.3523463,3913.1603355,1708.438733,1406.5151318,2180.724345,884.513801
2015-03-25,9999.2989114,3836.495312,1682.9714434,1411.6086264,2195.4706065,872.7529231
2015-03-26,10118.6376569,3861.8625749,1752.7118459,1414.9411694,2199.0920045,890.0300622
2015-03-27,10012.0817146,3888.4063974,1718.2866023,1336.790236,2222.8894845,845.7089944
2015-03-30,10057.6746297,3871.0922673,1732.2842347,1368.3081936,2252.8624122,833.1275219
2015-03-31,10003.4577916,3820.3900275,1716.6875392,1376.3598408,2272.3214998,817.6988843
2015-04-01,10106.876148,3847.1409111,1719.7111543,1427.641632,2287.9485413,824.4339093
2015-04-02,10218.9274968,3856.4681907,1785.6112321,1472.4144902,2269.0865719,835.3470119
2015-04-03,9967.4738131,3768.7140169,1683.9237502,1465.8438294,2258.2090708,790.7831458
