,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC,CY904.CZC
2018-02-01,,,,,23305.0,,,,23120.0,,23100.0,,,,,
2018-02-02,,,,,23230.0,,,,22995.0,,,,,,,
2018-02-05,,,,,23225.0,,,,,,,,,,,
2018-02-06,,,,,23325.0,,,,,,,,,,,
2018-02-07,,,,,23245.0,,,,,,,,,,,
2018-02-08,,,,,23090.0,,,,,,,,,,,
2018-02-09,,,,,23060.0,,,,,,,,,,,
2018-02-12,,,,,22575.0,,,,,,,,,,,
2018-02-13,,,,,22690.0,,,,,,,,,,,
2018-02-14,,,,,22915.0,,,,23045.0,,,,,,,
2018-02-26,,,,,,,,,23200.0,,,,,,,
2018-03-02,,,,,,,,,23075.0,,,,,,,
2018-03-05,,,,,23070.0,,,,22520.0,,,,,,,
2018-03-06,,,,,,,,,23280.0,,,,,,,
2018-03-07,,,,,23125.0,,,,,,,,,,,
2018-03-08,,,,,23045.0,,,23500.0,23300.0,,,,,,,
2018-03-12,,,,,23130.0,,,,22505.0,,,,,,,
2018-03-13,,,,,,,,,23345.0,,,,,,,
2018-03-14,,,,,23185.0,,,,23275.0,,,,,,,
2018-03-19,,,,,22480.0,,,,,,,,,,,
2018-03-20,,,,,,,,,23515.0,,,,,,,
2018-03-22,,,,,22980.0,,,,,,,,,,,
2018-03-23,,,,,23210.0,,,,,,,,,,,
2018-03-26,,,,,22300.0,,,,23250.0,,,,,,,
2018-03-27,,,,,22830.0,,,,23900.0,,,,,,,
2018-03-28,,,,,,,,,23045.0,23925.0,,,,,,
2018-03-29,,,,,,,,,23120.0,24220.0,,,,,,
2018-03-30,,,,,,,,,,23850.0,,,,,,
2018-04-02,,,,,23005.0,,,,,22945.0,,,,,,
2018-04-03,,,,,23020.0,,21620.0,,23085.0,,,,,,,
2018-04-04,,,,,23300.0,,22485.0,,,,,,,,,
2018-04-09,,,,,,,21895.0,,,,,,,,,
2018-04-10,,,,,23005.0,,23475.0,,,,,,,,,
2018-04-11,,,,,23065.0,,23455.0,,,,,,,,,
2018-04-18,,,,,23345.0,,22520.0,,,,,,,,,
2018-04-19,,,,,23115.0,,,,,,,,,,,
2018-04-20,,,,,,,23425.0,,,,,,,,,
2018-04-23,,,,,23770.0,,,,,,,,,,,
2018-04-24,,,,,,,,,,22310.0,,,,,,
2018-04-25,,,,,,,,,,22980.0,,,,,,
2018-04-26,,,,,,,,,,,,,,,,
