,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2015-03-24,4822.0,,4532.0,,,,,,,,,,,,,
2015-03-25,4852.0,,,,,,,,,,,,,,,
2015-03-27,4702.0,,,,,,,,,,,,,,,
2015-03-30,,,4439.0,,,,,,,,,,,,,
2015-03-31,,,4487.0,,,,,,,,,,,,,
2015-04-01,,,4556.0,,,,,,,,,,,,,
2015-04-02,4703.0,,4524.0,,,,,,,,,,,,,
2015-04-07,4706.0,,4505.0,,,,,,,,,,,,,
2015-04-08,4829.0,,4600.0,,,,,,,,,,,,,
2015-04-09,,,4611.0,,,,,,,,,,,,,
2015-04-13,,,4688.0,4597.0,,,,,,,,,,,,
2015-04-14,,,4673.0,,,,,,,,,,,,,
2015-04-15,4750.0,,,,,,,,,,,,,,,
2015-04-16,4731.0,,4658.0,,,,,,,,,,,,,
2015-04-21,,,4622.0,,,,,,,,,,,,,
2015-04-23,,,4635.0,,,,,,,,,,,,,
2015-04-24,,,4691.0,,,,,,,,,,,,,
2015-05-04,,,4644.0,,,,,,,,,,,,,
2015-05-05,,,4705.0,,,,,,,,,,,,,
2015-05-06,4920.0,,4834.0,,,,,,,,,,,,,
2015-05-07,,,4755.0,,,,,,,,,,,,,
2015-05-08,,,4762.0,,,,,,,,,,,,,
2015-05-13,4881.0,,4680.0,,,,,,,,,,,,,
2015-05-14,4729.0,,4700.0,,,,,,,,,,,,,
2015-05-15,4539.0,4876.0,4660.0,,,,,,,,,,,,,
2015-05-18,4405.0,,4521.0,,,,,,,,,,,,,
2015-05-19,4510.0,,4519.0,,,,,,,,,,,,,
2015-05-20,,,4533.0,,,,,,,,,,,,,
2015-05-21,4370.0,,4489.0,,,,,,,,,,,,,
2015-05-22,,,4406.0,,,,,,,,,,,,,
2015-05-25,4520.0,,4444.0,,,,,,,,,,,,,
2015-05-26,,,4475.0,,,,,,,,,,,,,
2015-05-27,,,4510.0,,,,,,,,,,,,,
2015-05-28,,,4515.0,,,,,,,,,,,,,
2015-05-29,4455.0,,4531.0,,,,,,,,,,,,,
2015-06-01,,,4491.0,,,,,,,,,,,,,
2015-06-02,4449.0,,4375.0,,,,,,,,,,,,,
2015-06-03,,,4430.0,,,,,,,,,,,,,
2015-06-04,,,4458.0,,,,,,,,,,,,,
2015-06-05,,,4478.0,,,,,,,,,,,,,
2015-06-08,4450.0,,4303.0,,,,,,,,,,,,,
2015-06-09,4324.0,,4281.0,,,,,,,,,,,,,
2015-06-10,4344.0,4630.0,4240.0,,,,,,,,,,,,,
2015-06-11,4171.0,,4102.0,,,,,,,,,,,,,
2015-06-12,4017.0,4446.0,4006.0,,,,,,,,,,,,,
2015-06-15,,4134.0,3901.0,,,,,,,,,,,,,
2015-06-16,4020.0,,3861.0,,,,,,,,,,,,,
2015-06-17,3980.0,,3852.0,,,,,,,,,,,,,
2015-06-18,3880.0,,3850.0,,,,,,,,,,,,,
2015-06-19,3960.0,,3783.0,,,,,,,,,,,,,
2015-06-23,3940.0,,3762.0,,,,,,,,,,,,,
2015-06-24,,,3782.0,,,,,,,,,,,,,
2015-06-25,,,3790.0,,,,,,,,,,,,,
2015-06-26,4050.0,,3772.0,,,,,,,,,,,,,
2015-06-29,3909.0,,3639.0,,,,,,,,,,,,,
2015-06-30,3835.0,,3577.0,,,,,,,,,,,,,
2015-07-01,,,3650.0,,,,,,,,,,,,,
2015-07-02,,,3636.0,,,,,,,,,,,,,
2015-07-03,,3795.0,3650.0,,,,,,,,,,,,,
2015-07-06,,,3656.0,,,,,,,,,,,,,
2015-07-07,,,3612.0,,,,,,,,,,,,,
2015-07-08,,,3535.0,,,,,,,,,,,,,
2015-07-09,,,3561.0,,,,,,,,,,,,,
2015-07-10,,,3686.0,,,,,,,,,,,,,
2015-07-13,,,3700.0,,,,,,,,,,,,,
2015-07-14,,,3721.0,,,,,,,,,,,,,
2015-07-15,,,3600.0,,4190.0,,,,,,,,,,,
2015-07-16,,,3606.0,,,,,,,,,,,,,
2015-07-17,,,3615.0,,4200.0,,,,,,,,,,,
2015-07-20,,,3616.0,,4330.0,,,,,,,,,,,
2015-07-21,,,3650.0,,4444.0,,,,,,,,,,,
2015-07-22,,,3616.0,,4311.0,,,,,,,,,,,
2015-07-23,,3661.0,3622.0,,4401.0,,,,,,,,,,,
2015-07-24,,,3555.0,,4312.0,,,,,,,,,,,
2015-07-27,,,3581.0,,4209.0,,,,,,,,,,,
2015-07-28,,,3590.0,3628.0,4202.0,,,,,,,,,,,
2015-07-29,,3515.0,3633.0,3647.0,4212.0,,,,,,,,,,,
2015-07-30,,,3660.0,,4229.0,,,,,,,,,,,
2015-07-31,,3514.0,3640.0,,4198.0,,,,,,,,,,,
2015-08-03,,,3663.0,,4180.0,,,,,,,,,,,
2015-08-04,,,3723.0,,,,,,,,,,,,,
2015-08-05,,,3834.0,,4191.0,,,,,,,,,,,
2015-08-06,,,3720.0,,4187.0,,,,,,,,,,,
2015-08-07,,,3812.0,,4215.0,,,,,,,,,,,
2015-08-10,,,3813.0,,,,,,,,,,,,,
2015-08-11,,,3819.0,,4210.0,,,,,,,,,,,
2015-08-12,,,3803.0,,,,,,,,,,,,,
2015-08-13,,,3764.0,,,,,,,,,,,,,
2015-08-14,,,3804.0,,,,,,,,,,,,,
2015-08-17,,,3802.0,,,,,,,,,,,,,
2015-08-18,,,3802.0,,,,,,,,,,,,,
2015-08-19,,,3780.0,,,,,,,,,,,,,
2015-08-20,,,3666.0,,,,,,,,,,,,,
2015-08-21,,,3653.0,,,,,,,,,,,,,
2015-08-24,,,3657.0,,,,,,,,,,,,,
2015-08-25,,,3695.0,,4119.0,,,,,,,,,,,
2015-08-26,,,3745.0,,,,,,,,,,,,,
2015-08-27,,,3778.0,,4130.0,,,,,,,,,,,
2015-08-28,,,3664.0,,4209.0,,,,,,,,,,,
2015-08-31,,,3623.0,,4135.0,,,,,,,,,,,
2015-09-01,,,3615.0,,,,,,,,,,,,,
2015-09-08,,,,,4129.0,,,,,,,,,,,
2015-09-09,,,,,4130.0,,,,,,,,,,,
2015-09-10,,,,,4173.0,,,,,,,,,,,
2015-09-11,,,,,4167.0,,,,,,,,,,,
2015-09-15,,,,,4191.0,,,,,,,,,,,
2015-09-16,,,,,4152.0,,,,,,,,,,,
2015-09-17,,,,,4193.0,,4180.0,,,,,,,,,
2015-09-18,,,,,4187.0,,4107.0,,,,,,,,,
2015-09-21,,,,,4066.0,,,,,,,,,,,
2015-09-22,,,,,4140.0,,,,,,,,,,,
2015-09-24,,,,,4188.0,,,,,,,,,,,
2015-09-25,,,,,4180.0,,4170.0,,,,,,,,,
2015-09-28,,,,,4195.0,,,,,,,,,,,
2015-09-29,,,,,4131.0,,,,,,,,,,,
2015-09-30,,,,,4130.0,,,,,,,,,,,
2015-10-08,,,,,4141.0,,4220.0,,,,,,,,,
2015-10-09,,,,,4159.0,,4148.0,,,,,,,,,
2015-10-12,,,,,4141.0,,,,,,,,,,,
2015-10-13,,,,,4170.0,,,,,,,,,,,
2015-10-20,,,,,,,4051.0,,,,,,,,,
2015-10-21,,,,,,,4062.0,,,,,,,,,
2015-10-22,,,,,,,4061.0,,,,,,,,,
2015-10-23,,,,,4108.0,,,,,,,,,,,
2015-10-26,,,,,4166.0,,4178.0,,,,,,,,,
2015-10-27,,,,,,,4085.0,,,,,,,,,
2015-10-28,,,,,4191.0,,,,,,,,,,,
2015-10-29,,,,,4171.0,,,,,,,,,,,
2015-10-30,,,,,4188.0,,4213.0,,,,,,,,,
2015-11-02,,,,,4031.0,,4101.0,,,,,,,,,
2015-11-03,,,,,3966.0,,4160.0,,,,,,,,,
2015-11-04,,,,,3961.0,,,,,,,,,,,
2015-11-05,,,,,3940.0,,,,,,,,,,,
2015-11-06,,,,,4001.0,,,,,,,,,,,
2015-11-09,,,,,4039.0,,,,,,,,,,,
2015-11-10,,,,,4038.0,,,,,,,,,,,
2015-11-11,,,,,3954.0,,,,,,,,,,,
2015-11-12,,,,,4011.0,,4060.0,,,,,,,,,
2015-11-13,,,,,4001.0,,,,,,,,,,,
2015-11-16,,,,,4033.0,,,,,,,,,,,
2015-11-18,,,,,3999.0,,4177.0,,,,,,,,,
2015-11-19,,,,,3903.0,,4009.0,,,,,,,,,
2015-11-20,,,,,4005.0,,4069.0,,,,,,,,,
2015-11-23,,,,,4015.0,,4193.0,,,,,,,,,
2015-11-24,,,,,4020.0,,,,,,,,,,,
2015-11-25,,,,,4066.0,,,3952.0,,,,,,,,
2015-11-26,,,,,4073.0,,4186.0,,,,,,,,,
2015-11-27,,,,,4083.0,,4220.0,4110.0,,,,,,,,
2015-11-30,,,,,4063.0,,,,,,,,,,,
2015-12-02,,,,,4038.0,,,,,,,,,,,
2015-12-07,,,,,4093.0,,4224.0,,,,,,,,,
2015-12-08,,,,,4085.0,,,,,,,,,,,
2015-12-11,,,,,3930.0,,4081.0,,,,,,,,,
2015-12-14,,,,,4041.0,,4179.0,,,,,,,,,
2015-12-15,,,,,4078.0,,,,,,,,,,,
2015-12-16,,,,,4053.0,,,,,,,,,,,
2015-12-17,,,,,4088.0,,,,,,,,,,,
2015-12-18,,,,,4016.0,,4338.0,,,,,,,,,
2015-12-21,,,,,3968.0,,,,,,,,,,,
2015-12-22,,,,,4000.0,,4298.0,,,,,,,,,
2015-12-23,,,,,3953.0,,,,,,,,,,,
2015-12-24,,,,,3985.0,,4100.0,,,,,,,,,
2015-12-28,,,,,3961.0,,,,,,,,,,,
2015-12-29,,,,,3976.0,,,,,,,,,,,
2015-12-30,,,,,3981.0,,,,,,,,,,,
2015-12-31,,,,,3961.0,,,,,,,,,,,
2016-01-04,,,,,3852.0,,,,,,,,,,,
2016-01-05,,,,,3880.0,,,,,,,,,,,
2016-01-06,,,,,3915.0,,,,,,,,,,,
2016-01-07,,,,,3957.0,,,,,,,,,,,
2016-01-08,,,,,3864.0,,,,,,,,,,,
2016-01-11,,,,,3883.0,,,,,,,,,,,
2016-01-12,,,,,3801.0,,,,,,,,,,,
2016-01-13,,,,,3846.0,,,,,,,,,,,
2016-01-14,,,,,3839.0,,,,,,,,,,,
2016-01-15,,,,,3869.0,,4007.0,3844.0,,,,,,,,
2016-01-18,,,,,,,,3844.0,,,,,,,,
2016-01-19,,,,,3858.0,,3908.0,,,,,,,,,
2016-01-20,,,,,3875.0,,,,,,,,,,,
2016-01-22,,,,,3875.0,,,,,,,,,,,
2016-01-25,,,,,3879.0,,3851.0,,,,,,,,,
2016-01-26,,,,,3924.0,,,,,,,,,,,
2016-01-27,,,,,3883.0,,,,,,,,,,,
2016-01-28,,,,,3903.0,,3987.0,3887.0,,,,,,,,
2016-02-01,,,,,3906.0,,,,,,,,,,,
2016-02-04,,,,,3869.0,,,,,,,,,,,
2016-02-05,,,,,3878.0,,,,,,,,,,,
2016-02-16,,,,,3881.0,,3843.0,,,,,,,,,
2016-02-17,,,,,3870.0,,3951.0,3851.0,,,,,,,,
2016-02-18,,,,,3903.0,,,,,,,,,,,
2016-02-22,,,,,3909.0,,,,,,,,,,,
2016-02-23,,,,,3802.0,,,,,,,,,,,
2016-02-24,,,,,3891.0,,,,,,,,,,,
2016-02-25,,,,,3892.0,,,,,,,,,,,
2016-03-01,,,,,3928.0,,,,,,,,,,,
2016-03-03,,,,,3897.0,,,,,,,,,,,
2016-03-04,,,,,3877.0,,,,,,,,,,,
2016-03-07,,,,,3892.0,,,,,,,,,,,
2016-03-08,,,,,3871.0,,,,,,,,,,,
2016-03-09,,,,,3905.0,,,,,,,,,,,
2016-03-10,,,,,3941.0,,,,,,,,,,,
2016-03-11,,,,,3936.0,,,,,,,,,,,
2016-03-14,,,,,3958.0,,3860.0,,,,,,,,,
2016-03-15,,,,,3927.0,,4017.0,,,,,,,,,
2016-03-16,,,,,3908.0,,,3855.0,,,,,,,,
2016-03-17,,,,,,,,3846.0,,,,,,,,
2016-03-18,,,,,3904.0,,,3693.0,,,,,,,,
2016-03-21,,,,,3913.0,,,,,,,,,,,
2016-03-22,,,,,3924.0,,4044.0,3831.0,,,,,,,,
2016-03-23,,,,,3939.0,,,,,,,,,,,
2016-03-24,,,,,3887.0,,,,,,,,,,,
2016-03-25,,,,,3900.0,,4033.0,3933.0,,,,,,,,
2016-03-28,,,,,3972.0,,3960.0,,,,,,,,,
2016-03-29,,,,,3920.0,,3971.0,,,,,,,,,
2016-03-30,,,,,3940.0,,,,,,,,,,,
2016-03-31,,,,,3902.0,,,,,,,,,,,
2016-04-01,,,,,3886.0,,,,,,,,,,,
2016-04-05,,,,,3916.0,,3917.0,,,,,,,,,
2016-04-06,,,,,3911.0,,4009.0,,,,,,,,,
2016-04-07,,,,,3909.0,,,,,,,,,,,
2016-04-08,,,,,3887.0,,,,,,,,,,,
2016-04-11,,,,,3903.0,,4010.0,,,,,,,,,
2016-04-12,,,,,3907.0,,3860.0,,,,,,,,,
2016-04-13,,,,,3907.0,,3917.0,,,,,,,,,
2016-04-14,,,,,3933.0,,,,,,,,,,,
2016-04-15,,,,,3886.0,,,,,,,,,,,
2016-04-18,,,,,3899.0,,,,,,,,,,,
2016-04-19,,,,,3878.0,,,,,,,,,,,
2016-04-20,,,,,3905.0,,,,,,,,,,,
2016-04-21,,,,,3958.0,,4106.0,,,,,,,,,
2016-04-22,,,,,3898.0,,4082.0,,,,,,,,,
2016-04-25,,,,,3920.0,,,,,,,,,,,
2016-04-26,,,,,3888.0,,,,,,,,,,,
2016-04-27,,,,,3935.0,,4051.0,,,,,,,,,
2016-04-28,,,,,3931.0,,,,,,,,,,,
2016-04-29,,,,,3942.0,,,,,,,,,,,
2016-05-03,,,,,3941.0,,4079.0,,,,,,,,,
2016-05-04,,,,,3945.0,,,,,,,,,,,
2016-05-05,,,,,3947.0,,,3940.0,,,,,,,,
2016-05-06,,,,,3908.0,,,,,,,,,,,
2016-05-09,,,,,3941.0,,,4146.0,,,,,,,,
2016-05-10,,,,,3942.0,,,,,,,,,,,
2016-05-11,,,,,3978.0,,4100.0,,,,,,,,,
2016-05-12,,,,,3961.0,,,,,,,,,,,
2016-05-13,,,,,3902.0,,3941.0,,,,,,,,,
2016-05-16,,,,,3910.0,,3974.0,,,,,,,,,
2016-05-17,,,,,3930.0,,3983.0,4102.0,,,,,,,,
2016-05-18,,,,,3942.0,,,4195.0,,,,,,,,
2016-05-19,,,,,3918.0,,3991.0,4170.0,,,,,,,,
2016-05-20,,,,,3824.0,,3992.0,4160.0,,,,,,,,
2016-05-23,,,,,3851.0,,4010.0,,,,,,,,,
2016-05-24,,,,,3924.0,,4146.0,,,,,,,,,
2016-05-25,,,,,3988.0,,4161.0,,,,,,,,,
2016-05-26,,,,,4000.0,,4169.0,,,,,,,,,
2016-05-27,,,,,4011.0,,4149.0,,,,,,,,,
2016-05-30,,,,,4051.0,,4090.0,4280.0,,,,,,,,
2016-05-31,,,,,4041.0,,4031.0,,,,,,,,,
2016-06-01,,,,,4039.0,,4044.0,,,,,,,,,
2016-06-02,,,,,4144.0,,4090.0,,,,,,,,,
2016-06-03,,,,,4223.0,,4266.0,,,,,,,,,
2016-06-06,,,,,4183.0,,4176.0,,,,,,,,,
2016-06-07,,,,,4168.0,,4181.0,,,,,,,,,
2016-06-08,,,,,4175.0,,4207.0,4203.0,,,,,,,,
2016-06-13,,,,,4172.0,,4240.0,,,,,,,,,
2016-06-14,,,,,4100.0,,4159.0,,,,,,,,,
2016-06-15,,,,,4133.0,,4228.0,,,,,,,,,
2016-06-16,,,,,4119.0,,4198.0,,,,,,,,,
2016-06-17,,,,,4130.0,,4227.0,,,,,,,,,
2016-06-20,,,,,4135.0,,4231.0,,,,,,,,,
2016-06-21,,,,,4128.0,,4362.0,,,,,,,,,
2016-06-22,,,,,4136.0,,4311.0,,,,,,,,,
2016-06-23,,,,,4129.0,,4323.0,,,,,,,,,
2016-06-24,,,,,4095.0,,4310.0,,,,,,,,,
2016-06-27,,,,,4078.0,,4310.0,,,,,,,,,
2016-06-28,,,,,4180.0,,4400.0,,,,,,,,,
2016-06-29,,,,,4163.0,,4334.0,,,,,,,,,
2016-06-30,,,,,4035.0,,4322.0,,,,,,,,,
2016-07-01,,,,,4210.0,,4356.0,,,,,,,,,
2016-07-04,,,,,,,4289.0,,,,,,,,,
2016-07-05,,,,,,,4308.0,,,,,,,,,
2016-07-06,,,,,,,4280.0,,,,,,,,,
2016-07-07,,,,,4070.0,,4230.0,,,,,,,,,
2016-07-08,,,,,4070.0,,4085.0,,,,,,,,,
2016-07-11,,,,,,,4085.0,,,,,,,,,
2016-07-12,,,,,,,4112.0,,,,,,,,,
2016-07-13,,,,,,,4141.0,,,,,,,,,
2016-07-14,,,,,,,4182.0,,,,,,,,,
2016-07-15,,,,,,,4163.0,,,,,,,,,
2016-07-18,,,,,,,4167.0,,,,,,,,,
2016-07-19,,,,,,,4194.0,,,,,,,,,
2016-07-20,,,,,,,4200.0,,,,,,,,,
2016-07-21,,,,,,,4074.0,,,,,,,,,
2016-07-22,,,,,,,4048.0,,,,,,,,,
2016-07-25,,,,,,,4120.0,,,,,,,,,
2016-07-26,,,,,,,4084.0,,,,,,,,,
2016-07-27,,,,,,,4088.0,,,,,,,,,
2016-07-28,,,,,,,4141.0,,,,,,,,,
2016-07-29,,,,,,,4116.0,,,,,,,,,
2016-08-01,,,,,,,4146.0,,,,,,,,,
2016-08-02,,,,,,,4102.0,,,,,,,,,
2016-08-04,,,,,,,4115.0,,,,,,,,,
2016-08-08,,,,,,,4122.0,,,,,,,,,
2016-08-09,,,,,,,4065.0,,,,,,,,,
2016-08-11,,,,,,,4076.0,,,,,,,,,
2016-08-12,,,,,,,4019.0,,,,,,,,,
2016-08-16,,,,,,,3969.0,,,,,,,,,
2016-08-17,,,,,,,4100.0,,,,,,,,,
2016-08-18,,,,,,,4217.0,,,,,,,,,
2016-08-19,,,,,,,4261.0,,,,,,,,,
2016-08-22,,,,,,,4261.0,,,,,,,,,
2016-08-23,,,,,,,4259.0,,,,,,,,,
2016-08-25,,,,,,,4299.0,,,,,,,,,
2016-08-29,,,,,,,4265.0,,,,,,,,,
2016-11-15,,,,,,,,,3889.0,,,,,,,
2016-11-16,,,,,,,,,4220.0,,,,,,,
2016-11-17,,,,,,,,,4401.0,,,,,,,
2016-11-18,,,,,,,,,4663.0,4143.0,,,,,,
2016-11-21,,,,,,,,,4681.0,4010.0,,,,,,
2016-11-22,,,,,,,,,4688.0,,,,,,,
2016-11-23,,,,,,,,,4705.0,,,,,,,
2016-11-24,,,,,,,,,4705.0,,,,,,,
2016-11-25,,,,,,,,,4708.0,4637.0,,,,,,
2016-11-28,,,,,,,,,4754.0,4604.0,,4100.0,,,,
2016-11-29,,,,,,,,,4766.0,,,,,,,
2016-11-30,,,,,,,,,4800.0,4850.0,,,,,,
2016-12-01,,,,,,,,,4785.0,5150.0,,,,,,
2016-12-02,,,,,,,,,4801.0,,,,,,,
2016-12-05,,,,,,,,,4701.0,,4686.0,,,,,
2016-12-06,,,,,,,,,4849.0,,4797.0,,,,,
2016-12-07,,,,,,,,,4855.0,,,,,,,
2016-12-08,,,,,,,,,4901.0,,,,,,,
2016-12-09,,,,,,,,,4887.0,,,,,,,
2016-12-12,,,,,,,,,4877.0,,,,,,,
2016-12-13,,,,,,,,,4920.0,5000.0,,,,,,
2016-12-14,,,,,,,,,4932.0,,,,,,,
2016-12-15,,,,,,,,,4966.0,,5138.0,,,,,
2016-12-16,,,,,,,,,5008.0,,,,,,,
2016-12-20,,,,,,,,,4937.0,,,,,,,
2016-12-22,,,,,,,,,4966.0,,,,,,,
2016-12-23,,,,,,,,,4889.0,,,,,,,
2016-12-26,,,,,,,,,4880.0,,,,,,,
2016-12-27,,,,,,,,,4803.0,,,,,,,
2016-12-28,,,,,,,,,4967.0,,,,,,,
2016-12-29,,,,,,,,,4989.0,,,,,,,
2016-12-30,,,,,,,,,4852.0,,,,,,,
2017-01-03,,,,,,,,,4809.0,,,,,,,
2017-01-04,,,,,,,,,4894.0,,,,,,,
2017-01-06,,,,,,,,,4815.0,,,,,,,
2017-01-09,,,,,,,,,4810.0,,,,,,,
2017-01-10,,,,,,,,,4851.0,,,,,,,
2017-01-11,,,,,,,,,4877.0,,,,,,,
2017-01-12,,,,,,,,,4942.0,,,,,,,
2017-01-13,,,,,,,,,4851.0,,,,,,,
2017-01-16,,,,,,,,,4867.0,,,,,,,
2017-01-17,,,,,,,,,4975.0,,,,,,,
2017-01-18,,,,,,,,,4980.0,,,,,,,
2017-01-19,,,,,,,,,4991.0,,,,,,,
2017-01-23,,,,,,,,,4912.0,,5192.0,,,,,
2017-01-24,,,,,,,,,4880.0,,5146.0,,,,,
2017-01-25,,,,,,,,,4840.0,,,,,,,
2017-01-26,,,,,,,,,4914.0,,,,,,,
2017-02-06,,,,,,,,,4966.0,,,,,,,
2017-02-07,,,,,,,,,4974.0,,,,,,,
2017-02-08,,,,,,,,,4863.0,,,,,,,
2017-02-09,,,,,,,,,4921.0,,,,,,,
2017-02-13,,,,,,,,,4856.0,,,,,,,
2017-02-14,,,,,,,,,4861.0,,,,,,,
2017-02-15,,,,,,,,,4941.0,,,,,,,
2017-02-16,,,,,,,,,4900.0,,,,,,,
2017-02-17,,,,,,,,,4933.0,,,,,,,
2017-02-20,,,,,,,,,4881.0,,,4950.0,,,,
2017-02-21,,,,,,,,,4872.0,,,,,,,
2017-02-23,,,,,,,,,4898.0,,,,,,,
2017-02-24,,,,,,,,,4856.0,,,,,,,
2017-02-27,,,,,,,,,4883.0,,,,,,,
2017-02-28,,,,,,,,,4914.0,,,,,,,
2017-03-01,,,,,,,,,4959.0,,,,,,,
2017-03-02,,,,,,,,,4930.0,,4768.0,,,,,
2017-03-03,,,,,,,,,4801.0,,4971.0,,,,,
2017-03-06,,,,,,,,,4814.0,,,,,,,
2017-03-07,,,,,,,,,4858.0,,,,,,,
2017-03-08,,,,,,,,,4860.0,,,,,,,
2017-03-09,,,,,,,,,4939.0,,,,,,,
2017-03-10,,,,,,,,,5003.0,,,,,,,
2017-03-13,,,,,,,,,4950.0,,,,,,,
2017-03-14,,,,,,,,,4935.0,,,,,,,
2017-03-15,,,,,,,,,4980.0,,,,,,,
2017-03-16,,,,,,,,,4990.0,,,,,,,
2017-03-20,,,,,,,,,4950.0,,,,,,,
2017-03-21,,,,,,,,,4953.0,,,,,,,
2017-03-22,,,,,,,,,4978.0,,,,,,,
2017-03-24,,,,,,,,,4964.0,,,,,,,
2017-03-27,,,,,,,,,4994.0,,,,,,,
2017-03-29,,,,,,,,,4993.0,,,,,,,
2017-03-31,,,,,,,,,4975.0,,,,,,,
2017-04-07,,,,,,,,,5015.0,,,,,,,
2017-04-10,,,,,,,,,5034.0,,,,,,,
2017-04-11,,,,,,,,,5009.0,,,,,,,
2017-04-12,,,,,,,,,5028.0,,,,,,,
2017-04-13,,,,,,,,,5001.0,,,,,,,
2017-04-14,,,,,,,,,4983.0,,,,,,,
2017-04-17,,,,,,,,,5009.0,,,,,,,
2017-04-18,,,,,,,,,5001.0,,,,,,,
2017-04-19,,,,,,,,,5005.0,,,,,,,
2017-04-20,,,,,,,,,4988.0,,,,,,,
2017-04-21,,,,,,,,,4916.0,,4474.0,,,,,
2017-04-24,,,,,,,,,4871.0,,,,,,,
2017-04-25,,,,,,,,,4916.0,,,,,,,
2017-04-26,,,,,,,,,4910.0,,,,,,,
2017-04-27,,,,,,,,,4767.0,,,,,,,
2017-04-28,,,,,,,,,4790.0,,,,,,,
2017-05-02,,,,,,,,,4910.0,,,,,,,
2017-05-03,,,,,,,,,,4800.0,,,,,,
2017-05-04,,,,,,,,,4901.0,4888.0,,,,,,
2017-05-05,,,,,,,,,,,4666.0,,,,,
2017-05-08,,,,,,,,,4903.0,,4920.0,,,,,
2017-05-09,,,,,,,,,4811.0,,4697.0,,,,,
2017-05-10,,,,,,,,,4914.0,,4791.0,,,,,
2017-05-11,,,,,,,,,4863.0,,,,,,,
2017-05-12,,,,,,,,,4685.0,,4800.0,,,,,
2017-05-15,,,,,,,,,4780.0,,,,,,,
2017-05-16,,,,,,,,,4786.0,,,,,,,
2017-05-17,,,,,,,,,4805.0,,,,,,,
2017-05-19,,,,,,,,,4825.0,,,,,,,
2017-05-22,,,,,,,,,4836.0,,,,,,,
2017-05-25,,,,,,,,,4850.0,,,,,,,
2017-05-26,,,,,,,,,4888.0,,,,,,,
2017-06-01,,,,,,,,,4890.0,,,,,,,
2017-06-02,,,,,,,,,5031.0,,,,,,,
2017-06-05,,,,,,,,,5056.0,,,,,,,
2017-06-06,,,,,,,,,5012.0,,,,,,,
2017-06-07,,,,,,,,,4994.0,,,,,,,
2017-06-08,,,,,,,,,5071.0,4600.0,,,,,,
2017-06-09,,,,,,,,,5056.0,,5187.0,,,,,
2017-06-12,,,,,,,,,5034.0,,,,,,,
2017-06-13,,,,,,,,,5002.0,,,,,,,
2017-06-14,,,,,,,,,4938.0,,4838.0,,,,,
2017-06-15,,,,,,,,,5036.0,4933.0,,,,,,
2017-06-16,,,,,,,,,5083.0,,,,,,,
2017-06-19,,,,,,,,,5181.0,4935.0,,,,,,
2017-06-20,,,,,,,,,4752.0,5000.0,,,,,,
2017-06-21,,,,,,,,,5074.0,,,,,,,
2017-06-22,,,,,,,,,5040.0,,,,,,,
2017-06-23,,,,,,,,,5214.0,,,,,,,
