,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2015-06-15,,,95.575,97.615,98.0,,,,,,,,,,,
2015-06-16,,,95.55,97.715,98.09,,,,,,,,,,,
2015-06-17,,,95.905,97.7,98.275,,,,,,,,,,,
2015-06-18,,,96.115,97.89,98.455,,,,,,,,,,,
2015-06-19,,,96.09,97.855,98.26,,,,,,,,,,,
2015-06-23,,,95.82,97.63,98.085,,,,,,,,,,,
2015-06-24,,,95.93,97.665,98.1,,,,,,,,,,,
2015-06-25,,,95.94,97.65,98.1,,,,,,,,,,,
2015-06-26,,,95.845,97.58,97.97,,,,,,,,,,,
2015-06-29,,,95.585,97.41,97.785,,,,,,,,,,,
2015-06-30,,,95.7,97.545,98.025,,,,,,,,,,,
2015-07-01,,,95.705,97.595,97.915,,,,,,,,,,,
2015-07-02,,,95.345,97.335,97.825,,,,,,,,,,,
2015-07-03,,,95.7,97.675,98.175,,,,,,,,,,,
2015-07-06,,,96.285,98.095,98.515,,,,,,,,,,,
2015-07-07,,,96.91,98.68,99.045,,,,,,,,,,,
2015-07-08,,,96.01,98.005,98.605,,,,,,,,,,,
2015-07-09,,,96.35,98.445,99.07,,,,,,,,,,,
2015-07-10,,,96.5,98.525,99.09,,,,,,,,,,,
2015-07-13,,,96.73,98.315,99.275,,,,,,,,,,,
2015-07-14,,,96.595,98.555,99.175,,,,,,,,,,,
2015-07-15,,,96.4,98.355,98.935,,,,,,,,,,,
2015-07-16,,,96.765,98.655,99.145,,,,,,,,,,,
2015-07-17,,,96.81,98.735,99.27,,,,,,,,,,,
2015-07-20,,,96.93,98.78,99.3,,,,,,,,,,,
2015-07-21,,,96.71,98.67,99.25,,,,,,,,,,,
2015-07-22,,,96.72,98.605,99.165,,,,,,,,,,,
2015-07-23,,,97.04,98.87,99.38,,,,,,,,,,,
2015-07-24,,,97.115,99.015,99.5,,,,,,,,,,,
2015-07-27,,,97.0,98.94,99.42,,,,,,,,,,,
2015-07-28,,,97.15,99.12,99.61,,,,,,,,,,,
2015-07-29,,,97.26,99.22,99.67,,,,,,,,,,,
2015-07-30,,,97.085,99.05,99.48,,,,,,,,,,,
2015-07-31,,,96.51,98.54,98.97,,,,,,,,,,,
2015-08-03,,,96.545,98.575,99.02,,,,,,,,,,,
2015-08-04,,,96.645,98.67,99.2,,,,,,,,,,,
2015-08-05,,,96.68,98.66,99.095,,,,,,,,,,,
2015-08-06,,,96.73,98.665,99.145,,,,,,,,,,,
2015-08-07,,,96.98,98.8,99.3,,,,,,,,,,,
2015-08-10,,,96.855,98.72,99.15,,,,,,,,,,,
2015-08-11,,,96.41,98.165,98.625,,,,,,,,,,,
2015-08-12,,,96.065,97.785,98.3,,,,,,,,,,,
2015-08-13,,,96.45,98.1,98.65,,,,,,,,,,,
2015-08-14,,,96.48,98.225,98.735,,,,,,,,,,,
2015-08-17,,,96.25,98.055,98.5,,,,,,,,,,,
2015-08-18,,,96.34,98.045,98.585,,,,,,,,,,,
2015-08-19,,,96.575,98.015,98.415,,,,,,,,,,,
2015-08-20,,,96.585,98.02,98.36,,,,,,,,,,,
2015-08-21,,,96.68,98.23,98.51,,,,,,,,,,,
2015-08-24,,,96.775,98.315,98.66,,,,,,,,,,,
2015-08-25,,,96.885,98.5,98.705,,,,,,,,,,,
2015-08-26,,,97.05,98.565,98.74,,,,,,,,,,,
2015-08-27,,,97.17,98.75,98.855,,,,,,,,,,,
2015-08-28,,,97.15,98.9,98.93,,,,,,,,,,,
2015-08-31,,,97.35,98.915,99.01,,,,,,,,,,,
2015-09-01,,,97.65,99.19,99.185,,,,,,,,,,,
2015-09-02,,,98.01,98.955,99.0,,,,,,,,,,,
2015-09-07,,,98.1,98.8,98.74,,,,,,,,,,,
2015-09-08,,,97.7,98.495,98.495,,,,,,,,,,,
2015-09-09,,,97.8,98.51,98.535,,,,,,,,,,,
2015-09-10,,,97.405,98.375,98.48,,,,,,,,,,,
2015-09-11,,,97.8,98.6,98.61,,,,,,,,,,,
2015-09-14,,,,98.61,98.62,,,,,,,,,,,
2015-09-15,,,,98.7,98.69,98.9,,,,,,,,,,
2015-09-16,,,,98.75,98.76,98.9,,,,,,,,,,
2015-09-17,,,,98.54,98.555,98.75,,,,,,,,,,
2015-09-18,,,,98.6,98.63,98.8,,,,,,,,,,
2015-09-21,,,,98.62,98.635,98.78,,,,,,,,,,
2015-09-22,,,,98.505,98.54,98.64,,,,,,,,,,
2015-09-23,,,,98.57,98.59,98.74,,,,,,,,,,
2015-09-24,,,,98.525,98.525,98.71,,,,,,,,,,
2015-09-25,,,,98.745,98.735,98.86,,,,,,,,,,
2015-09-28,,,,98.875,98.865,98.98,,,,,,,,,,
2015-09-29,,,,99.04,99.04,99.15,,,,,,,,,,
2015-09-30,,,,99.01,98.98,99.2,,,,,,,,,,
2015-10-08,,,,98.97,98.97,99.08,,,,,,,,,,
2015-10-09,,,,99.12,99.13,99.45,,,,,,,,,,
2015-10-12,,,,99.715,99.7,99.7,,,,,,,,,,
2015-10-13,,,,99.85,99.895,99.91,,,,,,,,,,
2015-10-14,,,,99.965,99.97,100.1,,,,,,,,,,
2015-10-15,,,,99.86,99.88,99.965,,,,,,,,,,
2015-10-16,,,,99.56,99.605,99.75,,,,,,,,,,
2015-10-19,,,,99.615,99.655,99.79,,,,,,,,,,
2015-10-20,,,,99.725,99.76,100.0,,,,,,,,,,
2015-10-21,,,,100.0,100.005,100.095,,,,,,,,,,
2015-10-22,,,,100.005,100.005,100.15,,,,,,,,,,
2015-10-23,,,,100.05,100.015,100.1,,,,,,,,,,
2015-10-26,,,,99.91,99.895,100.05,,,,,,,,,,
2015-10-27,,,,100.2,100.185,100.29,,,,,,,,,,
2015-10-28,,,,100.13,100.12,100.235,,,,,,,,,,
2015-10-29,,,,99.84,99.88,99.93,,,,,,,,,,
2015-10-30,,,,99.76,99.78,99.88,,,,,,,,,,
2015-11-02,,,,99.82,99.855,99.9,,,,,,,,,,
2015-11-03,,,,99.74,99.79,99.845,,,,,,,,,,
2015-11-04,,,,99.405,99.555,99.67,,,,,,,,,,
2015-11-05,,,,99.52,99.57,99.68,,,,,,,,,,
2015-11-06,,,,99.61,99.645,99.74,,,,,,,,,,
2015-11-09,,,,99.065,99.095,99.26,,,,,,,,,,
2015-11-10,,,,99.02,99.055,99.275,,,,,,,,,,
2015-11-11,,,,99.33,99.35,99.535,,,,,,,,,,
2015-11-12,,,,99.31,99.315,99.36,,,,,,,,,,
2015-11-13,,,,99.485,99.455,99.53,,,,,,,,,,
2015-11-16,,,,99.43,99.39,99.515,,,,,,,,,,
2015-11-17,,,,99.61,99.4,99.5,,,,,,,,,,
2015-11-18,,,,99.48,99.29,99.35,,,,,,,,,,
2015-11-19,,,,99.44,99.265,99.4,,,,,,,,,,
2015-11-20,,,,99.67,99.41,99.545,,,,,,,,,,
2015-11-23,,,,99.455,99.08,99.21,,,,,,,,,,
2015-11-24,,,,99.82,99.52,99.535,,,,,,,,,,
2015-11-25,,,,100.03,99.76,99.675,,,,,,,,,,
2015-11-26,,,,100.0,99.75,99.67,,,,,,,,,,
2015-11-27,,,,100.17,99.865,99.725,,,,,,,,,,
2015-11-30,,,,100.23,99.925,99.785,,,,,,,,,,
2015-12-01,,,,,99.92,99.815,,,,,,,,,,
2015-12-02,,,,,99.95,99.86,,,,,,,,,,
2015-12-03,,,,,99.9,99.805,,,,,,,,,,
2015-12-04,,,,100.5,99.96,99.8,,,,,,,,,,
2015-12-07,,,,100.5,99.96,99.8,,,,,,,,,,
2015-12-08,,,,,100.075,99.91,,,,,,,,,,
2015-12-09,,,,,100.11,99.965,,,,,,,,,,
2015-12-10,,,,,100.12,99.97,,,,,,,,,,
2015-12-11,,,,,100.13,100.0,,,,,,,,,,
2015-12-14,,,,,100.05,99.895,100.0,,,,,,,,,
2015-12-15,,,,,100.05,99.9,100.1,,,,,,,,,
2015-12-16,,,,,100.09,99.95,99.99,,,,,,,,,
2015-12-17,,,,,100.18,100.05,100.1,,,,,,,,,
2015-12-18,,,,,100.25,100.12,100.495,,,,,,,,,
2015-12-21,,,,,100.585,100.495,100.58,,,,,,,,,
2015-12-22,,,,,100.71,100.61,100.65,,,,,,,,,
2015-12-23,,,,,100.72,100.61,100.68,,,,,,,,,
2015-12-24,,,,,100.76,100.64,100.8,,,,,,,,,
2015-12-25,,,,,100.755,100.64,100.65,,,,,,,,,
2015-12-28,,,,,100.76,100.635,100.68,,,,,,,,,
2015-12-29,,,,,100.805,100.7,100.7,,,,,,,,,
2015-12-30,,,,,100.695,100.58,100.6,,,,,,,,,
2015-12-31,,,,,100.66,100.545,100.57,,,,,,,,,
2016-01-04,,,,,100.475,100.37,100.4,,,,,,,,,
2016-01-05,,,,,100.32,100.22,100.245,,,,,,,,,
2016-01-06,,,,,100.25,100.185,100.275,,,,,,,,,
2016-01-07,,,,,100.485,100.4,100.39,,,,,,,,,
2016-01-08,,,,,100.605,100.57,100.56,,,,,,,,,
2016-01-11,,,,,100.705,100.625,100.59,,,,,,,,,
2016-01-12,,,,,100.765,100.555,100.61,,,,,,,,,
2016-01-13,,,,,100.96,100.845,100.71,,,,,,,,,
2016-01-14,,,,,100.87,100.645,100.535,,,,,,,,,
2016-01-15,,,,,100.82,100.61,100.625,,,,,,,,,
2016-01-18,,,,,100.725,100.51,100.445,,,,,,,,,
2016-01-19,,,,,100.69,100.5,100.4,,,,,,,,,
2016-01-20,,,,,100.57,100.4,100.305,,,,,,,,,
2016-01-21,,,,,100.7,100.425,100.36,,,,,,,,,
2016-01-22,,,,,100.795,100.43,100.295,,,,,,,,,
2016-01-25,,,,,100.48,100.175,99.95,,,,,,,,,
2016-01-26,,,,,100.5,100.14,99.975,,,,,,,,,
2016-01-27,,,,,100.36,100.0,99.91,,,,,,,,,
2016-01-28,,,,,100.45,100.105,99.83,,,,,,,,,
2016-01-29,,,,,100.61,100.305,100.085,,,,,,,,,
2016-02-01,,,,,100.725,100.425,100.2,,,,,,,,,
2016-02-02,,,,,100.52,100.225,99.95,,,,,,,,,
2016-02-03,,,,,100.315,99.5,99.905,,,,,,,,,
2016-02-04,,,,,100.57,100.265,100.005,,,,,,,,,
2016-02-05,,,,,100.725,100.365,100.15,,,,,,,,,
2016-02-15,,,,,100.82,100.495,100.27,,,,,,,,,
2016-02-16,,,,,100.78,100.45,100.2,,,,,,,,,
2016-02-17,,,,,100.745,100.39,100.16,,,,,,,,,
2016-02-18,,,,,100.725,100.36,100.12,,,,,,,,,
2016-02-19,,,,,100.81,100.445,100.25,,,,,,,,,
2016-02-22,,,,,100.785,100.295,100.11,,,,,,,,,
2016-02-23,,,,,100.8,100.35,100.09,,,,,,,,,
2016-02-24,,,,,100.84,100.33,100.075,,,,,,,,,
2016-02-25,,,,,100.77,100.11,99.94,,,,,,,,,
2016-02-26,,,,,100.82,100.22,99.875,,,,,,,,,
2016-02-29,,,,,100.5,100.33,99.96,,,,,,,,,
2016-03-01,,,,,101.4,100.415,100.015,,,,,,,,,
2016-03-02,,,,,101.35,100.345,99.805,,,,,,,,,
2016-03-03,,,,,101.15,100.15,99.71,,,,,,,,,
2016-03-04,,,,,,100.15,99.735,,,,,,,,,
2016-03-07,,,,,101.275,100.07,99.725,,,,,,,,,
2016-03-08,,,,,,99.965,99.655,,,,,,,,,
