,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JD,JM,L,M,MA,NI,OI,P,PP,RB,RM,RU,SN,SR,TA,V,Y,ZC,ZN
2017-11-07,148.5000788,365.6980242,732.6903665,839.918414,142.1288876,217.256056,206.033456,84.934778,1962.076566,66.1563668,415.0544872,1238.254126,663.754529,139.0958414,230.7616878,249.7469885,741.3393838,229.1885466,861.4498588,349.2126908,322.7278044,236.8355265,1485.0608102,242.0232846,684.803554,32.397463,641.3459596,407.3908088,100.8340375,539.1108348,272.5020416,641.870437
2017-11-08,146.8784678,353.172636,718.065428,851.529313,136.1113012,213.0756612,200.9677925,109.3761632,1913.513797,68.1972076,421.9793194,1231.002624,687.090684,142.268628,241.5491796,246.445357,759.6487628,250.6783722,845.2902376,343.8155412,323.71616,245.8368327,1499.4355556,244.4847704,690.804725,33.6979424,658.3995576,400.4248774,100.8453175,541.9013812,284.00386,628.770506
2017-11-09,142.036404,353.6003352,684.232986,830.4094,135.9052776,212.0409774,204.2549965,106.574322,1880.270426,87.2618872,429.8028542,1262.101852,729.363345,144.3561402,256.3508382,253.036666,765.494419,242.7803244,788.2274308,343.9077384,325.16902,246.612865,1532.1122314,241.7808188,694.671432,33.3343088,694.5499272,404.326257,106.372655,536.9824152,293.2689976,636.2478585
2017-11-10,138.492605,350.8194849,675.0881265,832.32418,134.3394568,207.999509,199.8116225,116.6850418,1874.867218,95.0554916,434.5267726,1219.339039,675.990584,145.9207742,251.5976562,248.1949745,769.802558,237.4696344,772.997381,328.1563432,314.6793084,240.5273915,1561.1146492,242.7411834,695.704586,31.5731672,676.1368254,415.0890132,104.8638945,554.2242216,294.9275452,631.802151
2017-11-13,138.974642,347.7721998,671.809647,799.474002,138.6996088,213.2545168,209.734754,116.8941774,1877.264095,88.4692132,447.766494,1289.584447,701.794258,145.6225814,251.6569686,250.0290615,765.143281,272.5440612,801.3006938,327.4276964,323.7841824,250.2635308,1591.971025,243.1578392,716.817491,30.4252756,691.472933,467.0058978,107.4094995,556.666396,296.342136,642.002675
2017-11-14,140.940905,351.1953489,661.800694,778.749784,133.0783016,217.3769588,211.356179,156.720697,2095.53294,97.2525636,435.4942702,1221.111478,670.935325,142.9246384,234.3085254,247.6340275,762.6091232,260.9986298,791.4926468,319.8197808,308.1938712,235.6486323,1552.4723716,240.848907,709.77893,30.106638,690.8219376,485.8116252,109.113241,567.9372664,319.8332888,634.2526275
2017-11-15,139.2176796,347.2158792,611.840455,753.022676,112.3367544,213.9361362,200.634587,152.8689212,2023.266871,112.1717024,417.1415388,1160.29476,667.36671,146.0003296,223.8596532,230.728138,780.7293184,234.0860036,683.0046558,305.11428,307.9533616,217.599513,1437.050999,249.419056,632.283178,30.1910436,687.0239238,423.9944958,110.5693225,580.1711264,301.6650232,653.7437405
2017-11-16,140.1087936,341.5533426,615.0257925,725.256777,108.8893576,220.9208406,199.034563,147.8653184,2023.332343,123.004652,409.2180266,1122.869739,602.388629,142.8344736,205.9457892,234.950512,780.0600584,222.3662664,676.9964426,304.9865536,305.6987104,211.4274952,1421.6641232,250.9605656,635.218278,29.9252844,672.872984,423.6820066,116.2189395,596.6088888,268.6763756,645.4286255
2017-11-17,139.931326,343.5654135,616.8584385,713.381991,107.7035876,207.5405116,201.3329705,113.4134696,2047.02811,158.683684,412.3451948,1143.948193,656.602327,143.5953232,204.0133392,233.0556845,796.70963,258.9152542,672.9761846,303.3456436,305.3607364,234.7703442,1407.8446914,250.4155114,628.2461,30.0130406,658.22459,419.67223,111.475094,602.5686764,262.0866768,647.013382
2017-11-20,138.1488504,355.911663,610.519519,745.738352,106.9634312,203.3157336,209.7692845,117.7492674,2044.343049,194.0427008,385.6799366,1156.876613,697.389091,137.9732022,223.630587,239.1545625,824.5064526,244.7026932,662.5006768,303.5036152,310.8904896,244.9195347,1376.558896,264.2158208,628.725005,29.4724552,668.6074392,433.1505538,111.5753335,622.7538744,285.9732068,632.802261
2017-11-21,132.5904968,335.211072,598.7011825,700.884937,102.368516,208.7731876,219.0982725,110.8345816,2057.074625,192.0349152,368.2066462,1123.601177,717.520822,137.717945,217.096071,238.6714475,836.17425,295.790882,657.5344926,300.926124,315.4706372,250.8929904,1388.7795698,267.408857,634.742805,29.7700448,675.945027,432.9312936,118.954932,611.4909952,276.834694,646.576645
2017-11-22,130.0818148,338.829708,594.855488,693.653912,105.4555776,217.40139,226.5677195,111.7801342,2095.431574,186.2399664,375.9847936,1190.10698,760.602062,150.3492328,258.4495962,243.8062305,830.7389354,293.4966934,643.87208,303.2686584,326.8884832,256.2614502,1423.0705244,257.5128298,634.821145,30.1565308,679.0106326,424.4603222,117.666233,617.7578688,276.711322,617.664824
2017-11-23,132.3779902,340.5597684,588.8495,692.652904,108.6341272,216.458121,227.040673,103.8731088,2086.468824,175.9126024,362.3912714,1233.652889,780.515445,147.2086292,244.5336162,239.367237,813.1286324,282.0322696,643.2871056,298.2074688,307.692336,246.0899338,1446.5727596,251.4324956,632.805933,32.6981256,673.7015144,408.6427954,113.086156,617.55482,290.3383912,606.577569
2017-11-24,132.407857,347.5814517,598.1691365,686.579648,110.4253608,211.8255858,227.660998,103.2186996,2132.732479,169.5538132,342.1510724,1174.364508,839.995551,149.7140994,272.5670238,240.1616855,818.7652724,275.7224198,665.797905,299.0203248,308.0298156,254.0077471,1413.0077912,246.9330386,648.682966,32.0970344,677.1399492,410.8956674,113.2754425,618.6420052,290.8602516,586.4425065
2017-11-27,131.781623,342.0468024,605.5702225,683.033382,110.982404,211.6844932,218.55632,101.1611104,2077.461353,181.271634,338.4237604,1149.952222,807.799672,150.7158256,242.2543938,238.56321,816.7810708,259.2779628,634.2878904,295.1628768,315.8826796,232.7895772,1481.048642,245.6749722,625.250751,30.691813,679.3804296,393.168345,105.4679295,619.2142804,314.7113884,588.435249
2017-11-28,132.1163884,345.7217055,612.520377,734.661607,109.098724,210.9815044,215.3049305,101.389491,2021.774465,165.608542,349.9768432,1066.807428,797.881903,151.8996938,258.5231148,242.2252655,805.8850944,237.011264,647.790755,287.0315432,302.116986,223.6632084,1547.8672854,251.0246108,617.547042,30.5676608,684.9787766,370.8291288,105.285966,613.018926,308.6683072,593.229461
2017-11-29,132.0412122,355.6357827,608.864964,718.796183,108.0823108,216.0111776,210.508043,99.7442302,2029.545362,181.9218196,370.2199882,1140.342046,754.405366,160.672876,239.7748338,243.1144375,782.1888952,255.5968254,648.509921,280.126386,298.847134,223.5022936,1704.740943,245.6115214,620.962039,30.9764012,669.0330862,367.751349,106.906615,637.910622,303.124458,605.546569
2017-11-30,137.427894,359.9056248,608.5698965,652.514529,107.139562,208.1011598,219.703513,93.3988218,2048.861641,190.0339948,376.947838,1170.847969,873.184769,146.3542476,288.4057836,256.0093475,757.794985,255.3289416,632.4610146,278.3719088,298.0991696,232.3741021,1702.8475254,229.0867868,599.833686,31.505911,624.4389668,346.199898,101.0539785,607.290774,317.8230072,594.5655565
2017-12-01,132.6481562,357.32967,611.333262,652.696955,113.1994744,203.8383318,248.4985945,89.7970428,2032.822299,185.1383588,363.064764,1169.211705,855.022236,142.7870332,272.3178258,258.1931935,733.8011308,255.52445,633.074531,282.6633652,299.0192468,223.1948389,1661.0764024,219.8273824,658.649185,32.8789368,622.6475412,417.6129162,103.9055105,607.0942736,320.304818,576.278255
2017-12-04,133.1877422,361.7623245,612.77069,662.334499,119.2025336,215.869444,260.1014335,100.9302452,2004.710918,201.434086,390.6550606,1233.731639,867.059527,143.2615408,268.660359,252.4622335,781.6644946,290.5397762,650.3577016,283.6549744,303.4363672,210.2091162,1725.3943424,233.6252478,690.426054,31.5831516,633.8259268,431.6508256,107.82011,604.8666708,326.3869696,533.3191695
2017-12-05,132.2610024,366.074256,612.726378,673.237684,120.506688,218.1780534,251.968244,101.271383,2015.765151,185.8077708,381.8905368,1208.204815,824.250533,138.008879,255.3516612,251.0618805,754.7996066,267.6857906,630.571481,281.6521912,309.7955208,215.5588318,1675.7254788,218.778234,680.047052,31.6810168,623.7763674,408.1413298,97.5622145,604.3651508,312.3195648,517.3869925
2017-12-06,133.0182666,371.6753412,616.820359,687.580106,127.9814408,230.5282716,259.4412355,111.1777208,1983.412201,191.7091696,350.39245,1129.309465,847.040615,134.931491,243.457113,239.028629,809.0538606,274.1710982,611.573534,276.5092272,315.9453108,208.9665752,1603.001789,221.9552264,628.154296,31.4486182,625.9468646,425.4847114,106.7922385,602.8486972,307.3263472,517.5936395
2017-12-07,128.14261,380.7823818,624.820317,713.663443,99.9701468,210.9577614,247.6891495,93.1525176,1985.813625,179.0288152,321.3795756,961.305211,739.711729,133.1641452,221.5722234,243.570887,769.8745908,240.0581424,605.5970882,274.8192504,318.5636236,199.0127169,1457.069265,213.257747,604.097095,31.0705354,623.2275566,390.0016624,94.0127425,588.6347464,285.3940096,540.4111725
2017-12-08,126.953754,378.6304947,634.41907,745.79543,96.8518476,214.525751,283.738755,90.8935172,1992.297391,167.6925496,307.4990708,980.00223,728.382873,128.6316166,210.917898,240.1379335,758.6231626,235.374396,615.3806156,267.789418,320.1037108,193.7927691,1422.5479638,202.6947732,602.518367,32.3639512,633.1858382,383.8460214,132.0560695,580.7207528,304.7523964,569.542951
2017-12-11,127.9549156,379.5916434,633.9769455,749.297154,92.8043096,214.0143374,252.058756,88.3360568,1986.128732,168.9018032,309.223958,1023.876845,771.871719,126.3282218,193.2561948,247.5186335,722.3279014,262.6394378,610.6155836,263.3901928,324.8629904,192.1303926,1418.901411,202.5081336,602.50479,33.9447716,620.9193642,379.18981,131.890714,580.6391064,283.8310544,542.2946275
2017-12-12,132.4630134,391.2847425,643.709446,755.917348,99.1649144,212.5984964,245.648628,86.0204266,1902.715448,161.8443196,310.0174446,1017.647905,735.34427,123.6935856,189.1802334,239.754373,699.1971936,294.1205278,607.354598,259.9347768,334.3205108,200.7866495,1414.5419854,205.8387766,614.89148,35.1461886,612.4252558,374.0101212,133.1182315,579.773346,284.2643208,535.395306
2017-12-13,132.1018958,394.5801237,650.791762,752.839335,93.3754572,222.7429168,243.719781,84.8405168,1896.756755,175.0761544,297.6579432,1053.344512,719.764237,122.358103,185.423832,247.716177,697.464427,304.7659494,604.3745762,260.104,323.703292,200.1068662,1433.4417918,200.1128346,615.276994,39.7779992,552.5961746,371.452789,119.0127895,581.5876508,284.0178648,565.3686295
2017-12-14,128.7739878,398.904645,649.6828015,743.724327,89.8731644,230.134103,248.8417525,94.0507312,1876.543493,153.4444268,300.7702144,1023.962169,689.235863,121.1169734,192.538836,237.0805625,669.153886,279.279401,595.8145312,257.291804,341.9903612,196.5911288,1367.7516748,180.6071154,619.826981,38.519178,527.5299156,359.3009362,121.5511375,583.1743384,285.4660756,557.6694945
2017-12-15,127.9699364,388.3623105,614.8303905,728.428399,89.9618052,237.5606034,250.1137255,89.4079374,1871.028363,151.1283776,303.5696236,1052.530659,681.350299,125.1297502,178.2672528,248.572314,665.3786452,263.2541316,592.5801038,259.1744744,339.2624612,202.0030065,1310.3753918,188.182962,633.252172,38.1765776,484.0155222,343.7264436,118.860244,581.0306596,278.265428,570.24544
