,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-03-23,14040.4005639,4648.1181487,2160.6255554,3067.8771044,2874.1046474,1289.675108
2017-03-24,14092.0471618,4611.8327986,2183.7557641,3145.6806256,2887.530734,1263.2472395
2017-03-27,13919.4114137,4516.0928185,2116.607703,3073.2124808,2893.9100565,1319.5883549
2017-03-28,13750.3698134,4478.8565358,2073.3859138,3064.4861798,2839.2254322,1294.4157518
2017-03-29,13879.6198015,4422.2473934,2079.8716573,3180.3166172,2916.2842701,1280.8998635
2017-03-30,13749.5709088,4388.5386007,2065.0296776,3125.1431198,2885.8360856,1285.0234251
2017-03-31,13544.3597888,4264.5626324,2009.9385735,3133.7161336,2898.9247566,1237.2176927
2017-04-05,13743.5714967,4325.0045404,2005.9443906,3247.7488484,2900.6881816,1264.1855357
2017-04-06,13926.7895871,4364.2348949,2019.2032491,3329.9161182,2948.6299524,1264.8053725
2017-04-07,13732.9489274,4203.0062098,2006.6041936,3250.1813028,2927.644821,1345.5124002
2017-04-10,13649.150762,4244.7169975,2012.5383749,3215.7103392,2940.7245575,1235.4604929
2017-04-11,13661.4623983,4223.2016029,2009.4452952,3216.6509658,2965.2739265,1246.8906079
2017-04-12,13604.3974906,4167.0611984,1978.9759983,3143.4251464,2985.7683308,1329.1668167
2017-04-13,13653.6963166,4156.5638059,1995.7140461,3146.3465812,2991.8202993,1363.2515841
2017-04-14,13702.8007389,4052.6459461,2067.0489971,3162.1150916,3027.5618975,1393.4288066
2017-04-17,13594.5669391,4053.4298158,2054.8160461,3158.933626,2957.7487775,1369.6386737
2017-04-18,13614.1721435,4077.2655019,2051.2778694,3069.81334,3051.9093707,1363.9060615
2017-04-19,13556.7839028,4114.8100126,2011.1062872,3049.5222712,3029.873609,1351.4717228
2017-04-20,13591.8090476,4080.6587657,2026.031189,3098.2193656,3034.2934417,1352.6062856
2017-04-21,13447.9414951,4062.1704067,1982.3454507,3035.0223266,3037.5783429,1330.8249682
2017-04-24,13444.7722666,4085.5038329,2017.2789385,3062.2516102,3005.5663047,1274.1715803
2017-04-25,13451.1678326,4059.8993506,1991.8579903,3099.4774898,3045.2701193,1254.6628826
2017-04-26,13400.9368628,4000.932692,1987.7600672,3157.067441,3033.8855515,1221.2911111
2017-04-27,13334.8711855,3974.602103,1975.301685,3139.3180768,3027.8841019,1217.7652188
2017-04-28,13297.0002552,3915.0659092,1926.8027418,3255.8104708,3001.3735843,1197.9475491
2017-05-02,13335.8264646,3959.0701597,1949.3525268,3252.434934,2979.6974344,1195.2714097
2017-05-03,13475.1632574,3954.5478941,1966.5935522,3411.100384,2966.8290447,1176.0923824
2017-05-04,13119.060305,3991.6360231,1933.2419672,3107.1064162,2910.5847312,1176.4911673
2017-05-05,13006.8504407,3902.7895327,1907.9932229,3053.3791098,2975.9744096,1166.7141657
2017-05-08,13316.6531537,3950.3992649,1926.4494921,3262.92461,3009.616886,1167.2629007
2017-05-09,13287.7197793,3915.0432257,1948.1067722,3264.2797566,3015.803583,1144.4864418
2017-05-10,13387.0190538,3881.339628,1994.9351192,3357.7019912,2997.5800593,1155.4622561
2017-05-11,13424.5137682,3870.4680432,1981.1231944,3397.3096982,3015.0672531,1160.5455793
