,contract_issue_date,last_trade_date
FU1108.SHF,2010-08-02,2011-07-29
FU1109.SHF,2010-09-01,2011-08-31
FU1110.SHF,2010-10-08,2011-09-30
FU1111.SHF,2010-11-01,2011-10-31
FU1112.SHF,2010-12-01,2011-11-30
FU1202.SHF,2011-02-01,2012-01-31
FU1203.SHF,2011-03-01,2012-02-29
FU1204.SHF,2011-04-01,2012-03-30
FU1205.SHF,2011-05-03,2012-04-27
FU1206.SHF,2011-06-01,2012-05-31
FU1207.SHF,2011-07-01,2012-06-29
FU1208.SHF,2011-08-01,2012-07-31
FU1209.SHF,2011-09-01,2012-08-31
FU1210.SHF,2011-10-10,2012-09-28
FU1211.SHF,2011-11-01,2012-10-31
FU1212.SHF,2011-12-01,2012-11-30
FU1301.SHF,2012-01-04,2012-12-31
FU1303.SHF,2012-03-01,2013-02-28
FU1304.SHF,2012-04-05,2013-03-29
FU1305.SHF,2012-05-02,2013-04-26
FU1306.SHF,2012-06-01,2013-05-31
FU1307.SHF,2012-07-02,2013-06-28
FU1308.SHF,2012-08-01,2013-07-31
FU1309.SHF,2012-09-03,2013-08-30
FU1310.SHF,2012-10-08,2013-09-30
FU1311.SHF,2012-11-01,2013-10-31
FU1312.SHF,2012-12-03,2013-11-29
FU1402.SHF,2013-02-01,2014-01-30
FU1403.SHF,2013-03-01,2014-02-28
FU1404.SHF,2013-04-01,2014-03-31
FU1405.SHF,2013-05-02,2014-04-30
FU1406.SHF,2013-06-03,2014-05-30
FU1407.SHF,2013-07-01,2014-06-30
FU1408.SHF,2013-08-01,2014-07-31
FU1409.SHF,2013-09-02,2014-08-29
FU1410.SHF,2013-10-08,2014-09-30
FU1411.SHF,2013-11-01,2014-10-31
FU1412.SHF,2013-12-02,2014-11-28
FU1501.SHF,2014-01-02,2014-12-31
FU1503.SHF,2014-03-03,2015-02-27
FU1504.SHF,2014-04-01,2015-03-31
FU1505.SHF,2014-05-05,2015-04-30
FU1506.SHF,2014-06-03,2015-05-29
FU1507.SHF,2014-07-01,2015-06-30
FU1508.SHF,2014-08-01,2015-07-31
FU1509.SHF,2014-09-01,2015-08-31
FU1510.SHF,2014-10-08,2015-09-30
FU1511.SHF,2014-11-03,2015-10-30
FU1512.SHF,2014-12-01,2015-11-30
FU1601.SHF,2015-01-05,2015-12-31
FU1603.SHF,2015-03-02,2016-02-29
FU1604.SHF,2015-04-01,2016-03-31
FU1605.SHF,2015-05-04,2016-04-29
FU1606.SHF,2015-06-01,2016-05-31
FU1607.SHF,2015-07-01,2016-06-30
FU1608.SHF,2015-08-03,2016-07-29
FU1609.SHF,2015-09-01,2016-08-31
FU1610.SHF,2015-10-08,2016-09-30
FU1611.SHF,2015-11-02,2016-10-31
FU1612.SHF,2015-12-01,2016-11-30
FU1702.SHF,2016-02-01,2017-01-26
FU1703.SHF,2016-03-01,2017-02-28
FU1704.SHF,2016-04-01,2017-03-31
FU1705.SHF,2016-05-03,2017-04-28
FU1706.SHF,2016-06-01,2017-05-31
FU1707.SHF,2016-07-01,2017-06-30
FU1708.SHF,2016-08-01,2017-07-31
FU1709.SHF,2016-09-01,2017-08-31
FU1710.SHF,2016-10-10,2017-09-29
FU1711.SHF,2016-11-01,2017-10-31
FU1712.SHF,2016-12-01,2017-11-30
FU1801.SHF,2017-01-03,2017-12-29
FU1803.SHF,2017-03-01,2018-02-28
FU1804.SHF,2017-04-05,2018-03-30
FU1805.SHF,2017-05-02,2018-04-27
FU1806.SHF,2017-06-01,2018-05-31
FU1807.SHF,2017-07-03,2018-06-29
FU1808.SHF,2017-08-01,2018-07-31
FU1809.SHF,2017-09-01,2018-08-31
FU1810.SHF,2017-10-09,2018-09-28
FU1811.SHF,2017-11-01,2018-10-31
FU1812.SHF,2017-12-01,2018-11-30
FU1901.SHF,2018-01-02,2018-12-31
FU1903.SHF,2018-03-01,2019-02-28
FU1904.SHF,2018-04-02,2019-03-29
