,contract_issue_date,last_trade_date
CU1111.SHF,2010-11-16,2011-11-15
CU1112.SHF,2010-12-16,2011-12-15
CU1201.SHF,2011-01-18,2012-01-13
CU1202.SHF,2011-02-16,2012-02-15
CU1203.SHF,2011-03-16,2012-03-15
CU1204.SHF,2011-04-18,2012-04-16
CU1205.SHF,2011-05-17,2012-05-15
CU1206.SHF,2011-06-16,2012-06-15
CU1207.SHF,2011-07-18,2012-07-16
CU1208.SHF,2011-08-16,2012-08-15
CU1209.SHF,2011-09-16,2012-09-17
CU1210.SHF,2011-10-18,2012-10-15
CU1211.SHF,2011-11-16,2012-11-15
CU1212.SHF,2011-12-16,2012-12-17
CU1301.SHF,2012-01-16,2013-01-15
CU1302.SHF,2012-02-16,2013-02-18
CU1303.SHF,2012-03-16,2013-03-15
CU1304.SHF,2012-04-17,2013-04-15
CU1305.SHF,2012-05-16,2013-05-15
CU1306.SHF,2012-06-18,2013-06-17
CU1307.SHF,2012-07-17,2013-07-15
CU1308.SHF,2012-08-16,2013-08-15
CU1309.SHF,2012-09-18,2013-09-16
CU1310.SHF,2012-10-16,2013-10-15
CU1311.SHF,2012-11-16,2013-11-15
CU1312.SHF,2012-12-18,2013-12-16
CU1401.SHF,2013-01-16,2014-01-15
CU1402.SHF,2013-02-19,2014-02-17
CU1403.SHF,2013-03-18,2014-03-17
CU1404.SHF,2013-04-16,2014-04-15
CU1405.SHF,2013-05-16,2014-05-15
CU1406.SHF,2013-06-18,2014-06-16
CU1407.SHF,2013-07-16,2014-07-15
CU1408.SHF,2013-08-16,2014-08-15
CU1409.SHF,2013-09-17,2014-09-15
CU1410.SHF,2013-10-16,2014-10-15
CU1411.SHF,2013-11-18,2014-11-17
CU1412.SHF,2013-12-17,2014-12-15
CU1501.SHF,2014-01-16,2015-01-15
CU1502.SHF,2014-02-18,2015-02-10
CU1503.SHF,2014-03-18,2015-03-16
CU1504.SHF,2014-04-16,2015-04-15
CU1505.SHF,2014-05-16,2015-05-15
CU1506.SHF,2014-06-17,2015-06-15
CU1507.SHF,2014-07-16,2015-07-15
CU1508.SHF,2014-08-18,2015-08-17
CU1509.SHF,2014-09-16,2015-09-15
CU1510.SHF,2014-10-16,2015-10-15
CU1511.SHF,2014-11-18,2015-11-16
CU1512.SHF,2014-12-16,2015-12-15
CU1601.SHF,2015-01-16,2016-01-15
CU1602.SHF,2015-02-16,2016-02-15
CU1603.SHF,2015-03-17,2016-03-15
CU1604.SHF,2015-04-16,2016-04-15
CU1605.SHF,2015-05-18,2016-05-16
CU1606.SHF,2015-06-16,2016-06-15
CU1607.SHF,2015-07-16,2016-07-15
CU1608.SHF,2015-08-18,2016-08-15
CU1609.SHF,2015-09-16,2016-09-19
CU1610.SHF,2015-10-16,2016-10-17
CU1611.SHF,2015-11-17,2016-11-15
CU1612.SHF,2015-12-16,2016-12-15
CU1701.SHF,2016-01-18,2017-01-16
CU1702.SHF,2016-02-16,2017-02-15
CU1703.SHF,2016-03-16,2017-03-15
CU1704.SHF,2016-04-18,2017-04-17
CU1705.SHF,2016-05-17,2017-05-15
CU1706.SHF,2016-06-16,2017-06-15
CU1707.SHF,2016-07-18,2017-07-17
CU1708.SHF,2016-08-16,2017-08-15
CU1709.SHF,2016-09-20,2017-09-15
CU1710.SHF,2016-10-18,2017-10-16
CU1711.SHF,2016-11-16,2017-11-15
CU1712.SHF,2016-12-16,2017-12-15
CU1801.SHF,2017-01-17,2018-01-15
CU1802.SHF,2017-02-16,2018-02-09
CU1803.SHF,2017-03-16,2018-03-15
CU1804.SHF,2017-04-18,2018-04-16
CU1805.SHF,2017-05-16,2018-05-15
CU1806.SHF,2017-06-16,2018-06-15
CU1807.SHF,2017-07-18,2018-07-16
CU1808.SHF,2017-08-16,2018-08-15
CU1809.SHF,2017-09-18,2018-09-17
CU1810.SHF,2017-10-17,2018-10-15
CU1811.SHF,2017-11-16,2018-11-15
CU1812.SHF,2017-12-18,2018-12-17
CU1901.SHF,2018-01-16,2019-01-15
CU1902.SHF,2018-02-12,2019-02-15
CU1903.SHF,2018-03-16,2019-03-15
CU1904.SHF,2018-04-17,2019-04-15
