,contract_issue_date,last_trade_date
L1306.DCE,2012-06-15,2013-06-19
L1307.DCE,2012-07-16,2013-07-12
L1308.DCE,2012-08-15,2013-08-14
L1309.DCE,2012-09-17,2013-09-13
L1310.DCE,2012-10-22,2013-10-21
L1311.DCE,2012-11-15,2013-11-14
L1312.DCE,2012-12-17,2013-12-13
L1401.DCE,2013-01-18,2014-01-15
L1402.DCE,2013-02-22,2014-02-20
L1403.DCE,2013-03-15,2014-03-14
L1404.DCE,2013-04-17,2014-04-15
L1405.DCE,2013-05-16,2014-05-16
L1406.DCE,2013-06-20,2014-06-16
L1407.DCE,2013-07-15,2014-07-14
L1408.DCE,2013-08-15,2014-08-14
L1409.DCE,2013-09-16,2014-09-15
L1410.DCE,2013-10-22,2014-10-21
L1411.DCE,2013-11-15,2014-11-14
L1412.DCE,2013-12-16,2014-12-12
L1501.DCE,2014-01-16,2015-01-16
L1502.DCE,2014-02-21,2015-02-13
L1503.DCE,2014-03-17,2015-03-13
L1504.DCE,2014-04-16,2015-04-15
L1505.DCE,2014-05-19,2015-05-15
L1506.DCE,2014-06-17,2015-06-12
L1507.DCE,2014-07-15,2015-07-14
L1508.DCE,2014-08-15,2015-08-14
L1509.DCE,2014-09-16,2015-09-16
L1510.DCE,2014-10-22,2015-10-21
L1511.DCE,2014-11-17,2015-11-13
L1512.DCE,2014-12-15,2015-12-14
L1601.DCE,2015-01-19,2016-01-15
L1602.DCE,2015-02-16,2016-02-19
L1603.DCE,2015-03-16,2016-03-14
L1604.DCE,2015-04-16,2016-04-15
L1605.DCE,2015-05-18,2016-05-16
L1606.DCE,2015-06-15,2016-06-16
L1607.DCE,2015-07-15,2016-07-14
L1608.DCE,2015-08-17,2016-08-12
L1609.DCE,2015-09-17,2016-09-14
L1610.DCE,2015-10-22,2016-10-21
L1611.DCE,2015-11-16,2016-11-14
L1612.DCE,2015-12-15,2016-12-14
L1701.DCE,2016-01-18,2017-01-16
L1702.DCE,2016-02-22,2017-02-16
L1703.DCE,2016-03-15,2017-03-14
L1704.DCE,2016-04-18,2017-04-18
L1705.DCE,2016-05-17,2017-05-15
L1706.DCE,2016-06-17,2017-06-14
L1707.DCE,2016-07-15,2017-07-14
L1708.DCE,2016-08-15,2017-08-14
L1709.DCE,2016-09-19,2017-09-14
L1710.DCE,2016-10-24,2017-10-20
L1711.DCE,2016-11-15,2017-11-14
L1712.DCE,2016-12-15,2017-12-14
L1801.DCE,2017-01-17,2018-01-15
L1802.DCE,2017-02-17,2018-02-14
L1803.DCE,2017-03-15,2018-03-14
L1804.DCE,2017-04-19,2018-04-17
L1805.DCE,2017-05-16,2018-05-15
L1806.DCE,2017-06-15,2018-06-14
L1807.DCE,2017-07-17,2018-07-13
L1808.DCE,2017-08-15,2018-08-14
L1809.DCE,2017-09-15,2018-09-14
L1810.DCE,2017-10-23,2018-10-19
L1811.DCE,2017-11-15,2018-11-14
L1812.DCE,2017-12-15,2018-12-14
L1901.DCE,2018-01-16,2019-01-16
L1902.DCE,2018-02-22,2019-02-15
L1903.DCE,2018-03-15,2019-03-14
L1904.DCE,2018-04-18,2019-04-17
