,contract_issue_date,last_trade_date
AL1611.SHF,2015-11-17,2016-11-15
AL1612.SHF,2015-12-16,2016-12-15
AL1701.SHF,2016-01-18,2017-01-16
AL1702.SHF,2016-02-16,2017-02-15
AL1703.SHF,2016-03-16,2017-03-15
AL1704.SHF,2016-04-18,2017-04-17
AL1705.SHF,2016-05-17,2017-05-15
AL1706.SHF,2016-06-16,2017-06-15
AL1707.SHF,2016-07-18,2017-07-17
AL1708.SHF,2016-08-16,2017-08-15
AL1709.SHF,2016-09-20,2017-09-15
AL1710.SHF,2016-10-18,2017-10-16
AL1711.SHF,2016-11-16,2017-11-15
AL1712.SHF,2016-12-16,2017-12-15
AL1801.SHF,2017-01-17,2018-01-15
AL1802.SHF,2017-02-16,2018-02-09
AL1803.SHF,2017-03-16,2018-03-15
AL1804.SHF,2017-04-18,2018-04-16
AL1805.SHF,2017-05-16,2018-05-15
AL1806.SHF,2017-06-16,2018-06-15
AL1807.SHF,2017-07-18,2018-07-16
AL1808.SHF,2017-08-16,2018-08-15
AL1809.SHF,2017-09-18,2018-09-17
AL1810.SHF,2017-10-17,2018-10-15
AL1811.SHF,2017-11-16,2018-11-15
AL1812.SHF,2017-12-18,2018-12-17
AL1901.SHF,2018-01-16,2019-01-15
AL1902.SHF,2018-02-12,2019-02-15
AL1903.SHF,2018-03-16,2019-03-15
AL1904.SHF,2018-04-17,2019-04-15
